Date,AdjClose,Close,High,Low,Open,Volume,SMA_10,SMA_20,SMA_50,EMA_12,EMA_26,RSI_14,MACD,MACD_signal,MACD_hist,BB_low,BB_mid,BB_up,BB_width,STOCH_k,STOCH_d,ret_1d,ret_5d
2014-03-13,73.37220001220703,89.5,90.0,89.0,89.5,467100,89.85,88.55,86.085,89.33315377300607,88.06243926148377,58.91970785987769,1.2707145115223,1.2745166507459096,-0.003802139223609613,85.34219701353075,88.55,91.75780298646924,0.07245178964357418,72.72727272727273,79.7979797979798,0.0,0.0
2014-03-14,73.37220001220703,89.5,90.0,88.5,90.0,319900,89.9,88.7125,86.205,89.35882242331283,88.16892524211461,58.91970785987769,1.1898971811982193,1.2575927568363716,-0.06769557563815232,85.66178287119224,88.7125,91.76321712880777,0.06877761597988472,72.72727272727273,76.87991021324355,0.0,0.0
2014-03-17,73.1672592163086,89.25,90.0,89.0,89.5,351200,89.875,88.7875,86.29,89.34208051203393,88.24900485380982,57.106819888901,1.0930756582241088,1.2246893371139191,-0.13161367888981035,85.76146711848646,88.7875,91.81353288151352,0.0681634888134823,63.1578947368421,69.53748006379585,-0.0027932960893854997,0.0
2014-03-18,72.55239868164062,88.5,89.25,88.5,89.25,552200,89.75,88.7625,86.38,89.21252966402871,88.26759708686095,51.94329996054645,0.9449325771677621,1.1687379851246877,-0.2238054079569256,85.7356410670464,88.7625,91.7893589329536,0.06820129971448756,28.571428571428573,54.81886534518114,-0.008403361344537785,0.0
2014-03-19,73.37220001220703,89.5,90.5,89.5,89.75,730300,89.725,88.9,86.505,89.25675586956275,88.3588861915379,57.465618153065364,0.897869678024847,1.1145643237047196,-0.21669464567987262,86.00431355288578,88.9,91.79568644711424,0.06514480195982518,50.0,47.24310776942357,0.011299435028248483,0.0
2014-03-20,72.55239868164062,88.5,89.5,88.25,89.25,658500,89.525,89.0625,86.635,89.14033188963002,88.36933906623881,51.13727855504805,0.7709928233912109,1.0458500236420178,-0.27485720025080695,86.6861845748089,89.0625,91.4388154251911,0.05336287270604564,16.666666666666668,31.746031746031747,-0.011173184357541888,-0.011173184357541888
2014-03-21,73.1672592163086,89.25,89.25,88.0,88.75,509700,89.375,89.2375,86.76,89.15720390661002,88.43457320948038,55.12843589445604,0.7226306971296452,0.9812061583395434,-0.25857546120989816,87.41078847378652,89.2375,91.06421152621347,0.04094044602803692,41.666666666666664,36.11111111111111,0.008474576271186418,-0.0027932960893854997
2014-03-24,74.19200897216797,90.5,91.0,88.75,89.5,539100,89.425,89.4,86.83,89.36378792097771,88.58756778655591,60.86578477275179,0.7762201344218056,0.9402089535559959,-0.16398881913419028,87.73867522741602,89.4,91.06132477258399,0.03716610229494365,83.33333333333333,47.22222222222222,0.014005602240896309,0.014005602240896309
2014-03-25,73.98705291748047,90.25,90.5,89.0,90.5,286900,89.475,89.55,86.885,89.5001282408273,88.7107109134777,59.23450118844209,0.7894173273495966,0.9100506283147161,-0.12063330096511948,88.1752272915128,89.55,90.9247727084872,0.030704024756833048,75.0,66.66666666666667,-0.002762430939226568,0.019774011299435124
2014-03-26,74.19200897216797,90.5,91.0,89.5,90.75,414100,89.525,89.675,86.955,89.6539546653154,88.84325084581268,60.378106463620945,0.8107038195027201,0.8901812665523169,-0.0794774470495968,88.43907929056866,89.675,90.91092070943134,0.027564442920130258,83.33333333333333,80.55555555555556,0.0027700831024930483,0.011173184357541999
2014-03-27,75.42171478271484,92.0,92.0,90.5,90.5,424700,89.775,89.8125,87.115,90.01488471680534,89.07708411649322,66.45814580856788,0.9378006003121158,0.8997051333042767,0.03809546700783906,88.23234969069354,89.8125,91.39265030930646,0.03518775914948278,100.0,86.1111111111111,0.016574585635359185,0.039548022598870025
2014-03-28,78.4959487915039,95.75,97.5,90.75,92.75,1411200,90.4,90.15,87.31,90.89721014498913,89.57137418193817,76.26428692093236,1.325835963050963,0.984931299253614,0.3409046637973491,87.15667409058062,90.15,93.14332590941939,0.06640767408584321,81.57894736842105,88.30409356725146,0.040760869565217295,0.07282913165266103
2014-03-31,78.90586853027344,96.25,98.0,96.25,97.0,833500,91.1,90.4875,87.515,91.72071627652926,90.0660872054983,77.22055071355206,1.6546290710309535,1.118870853609082,0.5357582174218716,86.50480304943981,90.4875,94.47019695056018,0.08802756072518707,82.5,88.02631578947368,0.005221932114882533,0.06353591160220984
2014-04-01,79.72565460205078,97.25,98.0,95.75,96.25,493400,91.975,90.8625,87.755,92.57137531090937,90.59822889397991,79.03938883961644,1.9731464169294668,1.2897259662731588,0.683420450656308,85.92925816526278,90.8625,95.79574183473721,0.10858697118695208,92.5,85.52631578947368,0.010389610389610393,0.07756232686980602
2014-04-02,79.11080932617188,96.5,97.25,95.75,97.25,402400,92.675,91.2,87.985,93.17577910923102,91.03539712405546,74.25089981219054,2.1403819851755514,1.4598571700536374,0.6805248151219141,85.72368737196264,91.2,96.67631262803737,0.12009457517625795,85.0,86.66666666666667,-0.007712082262210762,0.06629834254143652
2014-04-03,79.52071380615234,97.0,97.0,95.0,95.5,441600,93.525,91.525,88.24,93.76412078473393,91.47721955931061,75.32419617195346,2.286901225423321,1.6252659811275743,0.6616352442957469,85.50856417802022,91.525,97.54143582197979,0.13147087291952544,90.0,89.16666666666667,0.005181347150259086,0.05434782608695654
2014-04-04,81.98011779785156,100.0,100.5,96.5,96.75,890100,94.6,91.9875,88.55,94.72348681785179,92.1085366289913,80.56006104639813,2.6149501888604902,1.8232028226741575,0.7917473661863328,84.94570512937209,91.9875,99.02929487062791,0.15310329926626792,96.0,90.33333333333333,0.030927835051546282,0.044386422976501416
2014-04-08,81.16031646728516,99.0,101.0,98.75,99.0,856900,95.45,92.4375,88.855,95.38141192279767,92.61901539721417,74.85815973728063,2.7623965255834975,2.0110415632560255,0.751354962327472,84.83343036591579,92.4375,100.04156963408421,0.16452348092677133,84.61538461538461,90.20512820512822,-0.010000000000000009,0.02857142857142847
2014-04-09,81.16031646728516,99.0,100.5,99.0,100.5,268000,96.325,92.9,89.18,95.93811778082879,93.09168092334646,74.85815973728063,2.846436857482331,2.1781206221012868,0.6683162353810443,84.89156694477619,92.9,100.90843305522382,0.17240975361084646,84.61538461538461,88.41025641025641,0.0,0.01799485861182526
2014-04-10,80.95535278320312,98.75,99.75,98.75,99.75,219100,97.15,93.3375,89.5,96.37071504531667,93.51081566976524,73.35284862033896,2.8598993755514357,2.3144763727913165,0.5454230027601192,85.05910190616558,93.3375,101.61589809383443,0.17738632583547717,82.6923076923077,83.97435897435898,-0.002525252525252486,0.023316062176165886
2014-04-11,80.75041198730469,98.5,99.0,97.75,98.5,363200,97.8,93.7875,89.805,96.69829734603718,93.88038487941226,71.79801387707838,2.817912466624918,2.415163591558037,0.40274887506688106,85.41451516781491,93.7875,102.16048483218508,0.17855225551774134,79.59183673469387,82.29984301412873,-0.0025316455696202667,0.015463917525773141
2014-04-16,81.77516174316406,99.75,102.5,98.0,98.25,1054900,98.2,94.3,90.14,97.16779006203146,94.31517118464099,74.68712003411353,2.8526188773904693,2.5026546487245236,0.3499642286659457,85.7858940575066,94.3,102.8141059424934,0.18057488743358222,79.62962962962963,80.63792468554372,0.012690355329949332,-0.0024999999999999467
2014-04-17,81.77516174316406,99.75,100.0,99.0,99.75,454200,98.55,94.825,90.455,97.56505312941124,94.7177510968898,74.68712003411353,2.8473020325214407,2.5715841254839074,0.2757179070375333,86.32632363247068,94.825,103.32367636752933,0.17924969928878096,78.84615384615384,79.35587340349245,0.0,0.007575757575757569
2014-04-18,81.16031646728516,99.0,100.0,99.0,99.75,125800,98.725,95.35,90.74,97.7858141864249,95.03495471934241,69.717253860036,2.750859467082492,2.6074391938036245,0.14342027327886742,87.18850503890363,95.35,103.51149496109636,0.17119024564439153,70.83333333333333,76.4363722697056,-0.007518796992481258,0.0
2014-04-21,81.98011779785156,100.0,100.5,99.0,99.0,150300,99.075,95.875,91.065,98.12645815774415,95.40273585124297,72.35836195880384,2.7237223065011875,2.6306958163431373,0.0930264901580502,87.93853353185428,95.875,103.81146646814572,0.1655586225428052,78.72340425531915,76.13429714493545,0.010101010101010166,0.012658227848101333
2014-04-22,80.34050750732422,98.0,100.5,97.25,100.0,317000,99.175,96.35,91.37,98.10700305655274,95.59512578818793,60.915527625958646,2.511877268364813,2.6069321067474727,-0.09505483838265949,89.13127435069032,96.35,103.56872564930967,0.1498438121288983,40.0,63.185579196217496,-0.020000000000000018,-0.005076142131979711
