Date,AdjClose,Close,High,Low,Open,Volume,SMA_10,SMA_20,SMA_50,EMA_12,EMA_26,RSI_14,MACD,MACD_signal,MACD_hist,BB_low,BB_mid,BB_up,BB_width,STOCH_k,STOCH_d,ret_1d,ret_5d
2025-06-23,39.0,39.0,39.5,37.75,38.0,25398500,41.75,43.5375,45.52,41.69865755813273,43.62434145656327,26.29213567906828,-1.9256838984305418,-1.3950746776271832,-0.5306092208033586,38.49945722527092,43.5375,48.57554277472908,0.2314346379433398,17.24137931034483,7.9382183908046,0.0,0.0
2025-06-24,41.75,41.75,41.75,39.75,40.0,56284400,41.55,43.225,45.38,41.70655639534308,43.48550134866969,42.255991174732166,-1.778944953326615,-1.4718487327670697,-0.30709622055954533,38.5723126045263,43.225,47.8776873954737,0.21527761228334058,57.142857142857146,25.944170771756983,0.07051282051282048,0.0
2025-06-25,41.25,41.25,42.0,40.75,41.25,31380200,41.325,42.9375,45.305,41.636316949905684,43.31990865617564,40.53690920145594,-1.683591706269958,-1.5141973274676475,-0.16939437880231045,38.55037394755976,42.9375,47.32462605244024,0.2043493940001275,51.851851851851855,42.07869610168461,-0.0119760479041916,0.0
2025-06-26,41.5,41.5,41.75,41.0,41.0,21249400,41.125,42.7,45.335,41.61534511145866,43.185100607570035,41.81158433401042,-1.5697554961113767,-1.5253089611963935,-0.04444653491498318,38.547892101594684,42.7,46.85210789840532,0.19447812170516715,55.55555555555556,54.85008818342152,0.0060606060606061,0.0
2025-06-27,39.5,39.5,41.25,39.5,41.25,30497500,40.8,42.4125,45.28,41.28990740200348,42.912130192194475,35.2934815317161,-1.622222790190996,-1.544691726995314,-0.07753106319568204,38.21049155165059,42.4125,46.61450844834941,0.19814952895252155,25.925925925925927,44.44444444444445,-0.048192771084337394,0.0
2025-06-30,38.75,38.75,40.25,38.75,39.5,37241100,40.3,42.0625,45.135,40.89915241707987,42.60382425203192,33.20312895194533,-1.7046718349520518,-1.5766877485866617,-0.12798408636539005,37.86465829264611,42.0625,46.26034170735389,0.199600200052488,14.814814814814815,32.098765432098766,-0.01898734177215189,-0.0064102564102563875
2025-07-01,40.25,40.25,40.5,38.75,39.0,33264000,40.0,41.825,45.04,40.7992828144522,42.42946690002955,40.76019692285486,-1.6301840855773548,-1.5873870159848005,-0.04279706959255436,37.784269867957065,41.825,45.86573013204294,0.19322080727043336,37.03703703703704,25.925925925925927,0.03870967741935494,-0.0359281437125748
2025-07-02,40.25,40.25,40.75,39.5,40.25,35184400,39.975,41.6375,44.9,40.71477776607494,42.26802490743477,40.76019692285486,-1.553247141359833,-1.5805590410598072,0.027311899699974163,37.67052697261505,41.6375,45.604473027384955,0.19054808897676143,37.03703703703704,29.629629629629633,0.0,-0.024242424242424288
2025-07-03,40.5,40.5,40.5,39.75,40.0,22693300,40.15,41.4375,44.78,40.68173503283264,42.13706009947664,42.02794802935452,-1.4553250666440007,-1.555512246176646,0.10018717953264522,37.66962593097915,41.4375,45.20537406902085,0.18185817527702436,40.74074074074074,38.2716049382716,0.006211180124223503,-0.02409638554216864
2025-07-04,41.0,41.0,41.75,40.5,40.75,30725400,40.375,41.3,44.665,40.73069887393531,42.052833425441335,44.582315905065364,-1.322134551506025,-1.508836707242522,0.18670215573649696,37.68198949697493,41.3,44.918010503025066,0.17520631975908324,52.0,43.25925925925926,0.012345679012345734,0.03797468354430378
