Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ADVANC.BK,ADVANC.BK,ADVANC.BK,ADVANC.BK,ADVANC.BK,ADVANC.BK
Date,,,,,,
2014-01-02,113.45631408691406,187.0,198.5,187.0,198.0,12694200
2014-01-03,118.9167709350586,196.0,196.0,186.5,187.0,16987100
2014-01-06,121.95036315917969,201.0,203.0,191.0,195.0,10294700
2014-01-07,127.41085052490234,210.0,210.0,200.0,205.0,11479200
2014-01-08,124.98397827148438,206.0,210.0,203.0,208.0,13653100
2014-01-09,123.16383361816406,203.0,208.0,202.0,204.0,11307400
2014-01-10,121.04025268554688,199.5,203.0,196.0,197.0,16141500
2014-01-13,126.80414581298828,209.0,210.0,197.0,197.0,11361800
2014-01-14,128.62428283691406,212.0,213.0,206.0,207.0,9223500
2014-01-15,124.37723541259766,205.0,214.0,204.0,213.0,10260300
2014-01-16,130.4444122314453,215.0,215.0,206.0,207.0,10517500
2014-01-17,129.8376922607422,214.0,215.0,208.0,214.0,7062500
2014-01-20,127.41085052490234,210.0,213.0,209.0,211.0,7021300
2014-01-21,128.01754760742188,211.0,214.0,210.0,212.0,5386300
2014-01-22,128.01754760742188,211.0,212.0,207.0,207.0,5927200
2014-01-23,130.4444122314453,215.0,218.0,209.0,209.0,7466000
2014-01-24,130.4444122314453,215.0,220.0,213.0,217.0,10420600
2014-01-27,127.41085052490234,210.0,213.0,210.0,210.0,6708700
2014-01-28,124.98397827148438,206.0,209.0,204.0,208.0,8530700
2014-01-29,126.1973876953125,208.0,211.0,205.0,206.0,4422500
2014-01-30,124.37723541259766,205.0,207.0,204.0,205.0,6389900
2014-01-31,126.80414581298828,209.0,209.0,205.0,206.0,3515900
2014-02-03,130.4444122314453,215.0,216.0,209.0,210.0,8504000
2014-02-04,128.01754760742188,211.0,213.0,210.0,211.0,7087300
2014-02-05,128.01754760742188,211.0,213.0,209.0,211.0,5205100
2014-02-06,129.2310028076172,213.0,213.0,210.0,212.0,4138900
2014-02-07,128.01754760742188,211.0,216.0,211.0,216.0,5178800
2014-02-10,128.01754760742188,211.0,213.0,209.0,212.0,3932400
2014-02-11,126.80414581298828,209.0,212.0,207.0,210.0,10336600
2014-02-12,129.8376922607422,214.0,215.0,210.0,210.0,7204000
2014-02-13,130.4444122314453,215.0,216.0,213.0,214.0,4674700
2014-02-17,134.6914520263672,222.0,222.0,214.0,216.0,8395400
2014-02-18,132.8712615966797,219.0,221.0,217.0,220.0,6289500
2014-02-19,131.65786743164062,217.0,224.0,214.0,219.0,8990800
2014-02-20,128.01754760742188,211.0,214.0,209.0,212.0,11584900
2014-02-21,127.41085052490234,210.0,212.0,208.0,211.0,6301600
2014-02-24,124.98397827148438,206.0,208.0,201.0,207.0,12139900
2014-02-25,125.59066009521484,207.0,211.0,206.0,207.0,4730700
2014-02-26,125.59066009521484,207.0,210.0,207.0,207.0,3480200
2014-02-27,128.01754760742188,211.0,212.0,206.0,207.0,4787000
2014-02-28,128.01754760742188,211.0,213.0,208.0,211.0,4775100
2014-03-03,130.4444122314453,215.0,217.0,211.0,211.0,6284900
2014-03-04,130.4444122314453,215.0,218.0,214.0,216.0,4382500
2014-03-05,130.4444122314453,215.0,218.0,213.0,218.0,5889200
2014-03-06,130.4444122314453,215.0,217.0,213.0,217.0,4542500
2014-03-07,129.2310028076172,213.0,217.0,212.0,216.0,3982700
2014-03-10,129.2310028076172,213.0,213.0,211.0,212.0,2359900
2014-03-11,129.2310028076172,213.0,215.0,213.0,214.0,6140200
2014-03-12,127.41085052490234,210.0,214.0,208.0,213.0,9303100
2014-03-13,131.65786743164062,217.0,218.0,211.0,211.0,8896700
2014-03-14,131.05113220214844,216.0,217.0,213.0,215.0,5378600
2014-03-17,133.47801208496094,220.0,220.0,215.0,216.0,5909600
2014-03-18,132.8712615966797,219.0,222.0,219.0,221.0,5001600
2014-03-19,134.6914520263672,222.0,224.0,219.0,219.0,7495400
2014-03-20,136.51161193847656,225.0,226.0,219.0,220.0,9110400
2014-03-21,137.11834716796875,226.0,227.0,223.0,225.0,5546800
