Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AWC.BK,AWC.BK,AWC.BK,AWC.BK,AWC.BK,AWC.BK
Date,,,,,,
2019-10-10,5.715997219085693,6.050000190734863,6.099999904632568,6.0,6.0,1345875300
2019-10-11,5.857715129852295,6.199999809265137,6.199999809265137,6.050000190734863,6.050000190734863,240461600
2019-10-15,5.999434471130371,6.349999904632568,6.400000095367432,6.199999809265137,6.25,601569300
2019-10-16,6.093913555145264,6.449999809265137,6.5,6.349999904632568,6.400000095367432,358678000
2019-10-17,6.424590587615967,6.800000190734863,6.800000190734863,6.449999809265137,6.5,547646300
2019-10-18,6.1883931159973145,6.550000190734863,6.800000190734863,6.550000190734863,6.75,501301100
2019-10-21,5.810475826263428,6.150000095367432,6.550000190734863,6.150000095367432,6.550000190734863,518885200
2019-10-22,5.90495491027832,6.25,6.300000190734863,6.150000095367432,6.199999809265137,237336700
2019-10-24,5.715997219085693,6.050000190734863,6.300000190734863,6.0,6.25,290290100
2019-10-25,5.715997219085693,6.050000190734863,6.150000095367432,6.0,6.099999904632568,220982800
2019-10-28,5.715997219085693,6.050000190734863,6.150000095367432,6.0,6.050000190734863,210887900
2019-10-29,5.7632365226745605,6.099999904632568,6.150000095367432,6.0,6.099999904632568,42106200
2019-10-30,5.715997219085693,6.050000190734863,6.099999904632568,6.0,6.099999904632568,167011000
2019-10-31,5.715997219085693,6.050000190734863,6.099999904632568,6.0,6.050000190734863,153002200
2019-11-01,5.715997219085693,6.050000190734863,6.099999904632568,6.0,6.050000190734863,47849100
2019-11-04,5.715997219085693,6.050000190734863,6.099999904632568,6.0,6.050000190734863,80311800
2019-11-05,5.715997219085693,6.050000190734863,6.099999904632568,6.0,6.0,90133700
2019-11-06,5.715997219085693,6.050000190734863,6.099999904632568,6.0,6.050000190734863,88550200
2019-11-07,5.715997219085693,6.050000190734863,6.25,6.0,6.0,255125500
2019-11-08,5.715997219085693,6.050000190734863,6.099999904632568,6.0,6.050000190734863,114912300
2019-11-11,5.101881504058838,5.400000095367432,6.050000190734863,5.25,6.050000190734863,562097500
2019-11-12,5.054641246795654,5.349999904632568,5.449999809265137,5.199999809265137,5.349999904632568,208686200
2019-11-13,5.054641246795654,5.349999904632568,5.449999809265137,5.300000190734863,5.300000190734863,54453200
2019-11-14,5.385319232940674,5.699999809265137,5.699999809265137,5.400000095367432,5.449999809265137,136395700
2019-11-15,5.243600368499756,5.550000190734863,5.699999809265137,5.5,5.699999809265137,71150700
2019-11-18,5.479798793792725,5.800000190734863,5.800000190734863,5.550000190734863,5.599999904632568,79147400
2019-11-19,5.715997219085693,6.050000190734863,6.050000190734863,5.849999904632568,5.849999904632568,97252500
2019-11-20,5.574277877807617,5.900000095367432,6.050000190734863,5.900000095367432,6.0,51236600
2019-11-21,5.668756484985352,6.0,6.050000190734863,5.849999904632568,5.849999904632568,47170100
2019-11-22,5.621516704559326,5.949999809265137,6.050000190734863,5.900000095367432,6.0,16597100
2019-11-25,5.621516704559326,5.949999809265137,6.0,5.900000095367432,6.0,13076500
2019-11-26,5.621516704559326,5.949999809265137,6.0,5.900000095367432,5.949999809265137,11696200
2019-11-27,5.574277877807617,5.900000095367432,6.0,5.900000095367432,5.949999809265137,10631100
2019-11-28,5.574277877807617,5.900000095367432,6.050000190734863,5.900000095367432,5.949999809265137,33012600
2019-11-29,5.668756484985352,6.0,6.0,5.800000190734863,5.949999809265137,49315800
2019-12-02,5.621516704559326,5.949999809265137,6.0,5.900000095367432,6.0,40443500
2019-12-03,5.574277877807617,5.900000095367432,5.949999809265137,5.849999904632568,5.900000095367432,9401900
2019-12-04,5.338079452514648,5.650000095367432,5.900000095367432,5.550000190734863,5.849999904632568,51462300
2019-12-06,5.338079452514648,5.650000095367432,5.849999904632568,5.650000095367432,5.699999809265137,23159900
2019-12-09,5.527038097381592,5.849999904632568,5.849999904632568,5.599999904632568,5.650000095367432,42346000
2019-12-11,5.621516704559326,5.949999809265137,6.0,5.800000190734863,5.849999904632568,42768500
2019-12-12,5.621516704559326,5.949999809265137,6.0,5.900000095367432,6.0,20143800
2019-12-13,5.621516704559326,5.949999809265137,6.0,5.849999904632568,5.949999809265137,33288800
2019-12-16,5.621516704559326,5.949999809265137,6.0,5.849999904632568,5.949999809265137,29956100
2019-12-17,5.574277877807617,5.900000095367432,5.949999809265137,5.849999904632568,5.849999904632568,18117900
2019-12-18,5.527038097381592,5.849999904632568,5.949999809265137,5.849999904632568,5.900000095367432,7292900
2019-12-19,5.479798793792725,5.800000190734863,5.900000095367432,5.800000190734863,5.849999904632568,32082100
2019-12-20,5.338079452514648,5.650000095367432,5.849999904632568,5.599999904632568,5.849999904632568,65620100
2019-12-23,5.432558536529541,5.75,5.800000190734863,5.699999809265137,5.699999809265137,17596100
2019-12-24,5.479798793792725,5.800000190734863,5.800000190734863,5.75,5.800000190734863,8519800
2019-12-25,5.479798793792725,5.800000190734863,5.900000095367432,5.699999809265137,5.75,13592200
2019-12-26,5.479798793792725,5.800000190734863,5.849999904632568,5.75,5.849999904632568,9901800
2019-12-27,5.432558536529541,5.75,5.900000095367432,5.599999904632568,5.849999904632568,29687700
2019-12-30,5.527038097381592,5.849999904632568,5.849999904632568,5.75,5.800000190734863,19741900
2020-01-02,5.385319232940674,5.699999809265137,5.900000095367432,5.650000095367432,5.900000095367432,26758300
2020-01-03,5.338079452514648,5.650000095367432,5.75,5.599999904632568,5.699999809265137,55066800
2020-01-06,5.1963605880737305,5.5,5.650000095367432,5.5,5.599999904632568,45869600
2020-01-07,5.338079452514648,5.650000095367432,5.699999809265137,5.550000190734863,5.550000190734863,15784000
2020-01-08,5.243600368499756,5.550000190734863,5.699999809265137,5.449999809265137,5.5,26255900
2020-01-09,5.385319232940674,5.699999809265137,5.75,5.550000190734863,5.599999904632568,36578300
2020-01-10,5.432558536529541,5.75,5.75,5.650000095367432,5.75,16041600
2020-01-13,5.432558536529541,5.75,5.800000190734863,5.699999809265137,5.800000190734863,16646400
2020-01-14,5.432558536529541,5.75,5.800000190734863,5.650000095367432,5.75,14372500
2020-01-15,5.90495491027832,6.25,6.25,5.699999809265137,5.699999809265137,156859100
2020-01-16,5.715997219085693,6.050000190734863,6.25,6.0,6.25,177292300
2020-01-17,5.621516704559326,5.949999809265137,6.150000095367432,5.949999809265137,6.099999904632568,64798500
2020-01-20,5.715997219085693,6.050000190734863,6.150000095367432,5.849999904632568,5.900000095367432,64424200
2020-01-21,5.479798793792725,5.800000190734863,6.050000190734863,5.800000190734863,6.050000190734863,60452500
2020-01-22,5.621516704559326,5.949999809265137,5.949999809265137,5.75,5.800000190734863,49793300
2020-01-23,5.574277877807617,5.900000095367432,6.0,5.849999904632568,5.849999904632568,39205400
2020-01-24,5.668756484985352,6.0,6.050000190734863,5.900000095367432,5.900000095367432,41986300
2020-01-27,5.290839195251465,5.599999904632568,5.75,5.5,5.699999809265137,123271200
2020-01-28,5.243600368499756,5.550000190734863,5.650000095367432,5.5,5.550000190734863,48378400
2020-01-29,5.1963605880737305,5.5,5.650000095367432,5.5,5.599999904632568,62871900
2020-01-30,5.101881504058838,5.400000095367432,5.550000190734863,5.349999904632568,5.5,45117800
2020-01-31,5.054641246795654,5.349999904632568,5.449999809265137,5.349999904632568,5.400000095367432,22061400
2020-02-03,5.101881504058838,5.400000095367432,5.449999809265137,5.300000190734863,5.349999904632568,29107900
2020-02-04,5.290839195251465,5.599999904632568,5.650000095367432,5.300000190734863,5.449999809265137,68332900
2020-02-05,5.243600368499756,5.550000190734863,5.599999904632568,5.449999809265137,5.550000190734863,35235300
2020-02-06,5.1963605880737305,5.5,5.699999809265137,5.5,5.550000190734863,63095500
