Price,Adj Close,Close,High,Low,Open,Volume
Ticker,CBG.BK,CBG.BK,CBG.BK,CBG.BK,CBG.BK,CBG.BK
Date,,,,,,
2014-11-21,26.996763229370117,32.5,37.0,32.25,35.0,234387500
2014-11-24,26.581422805786133,32.0,33.75,32.0,32.75,28320000
2014-11-25,28.86577033996582,34.75,34.75,31.5,32.25,21955500
2014-11-26,28.035093307495117,33.75,35.0,33.75,34.5,17067500
2014-11-27,27.82742691040039,33.5,34.5,33.5,33.5,7245200
2014-11-28,28.86577033996582,34.75,35.75,33.5,33.75,31071900
2014-12-01,30.111764907836914,36.25,37.0,35.25,35.25,38494000
2014-12-02,30.5271053314209,36.75,37.75,36.0,36.5,42507600
2014-12-03,30.111764907836914,36.25,36.75,36.0,36.75,7701000
2014-12-04,30.111764907836914,36.25,36.75,36.25,36.5,5985600
2014-12-08,28.658111572265625,34.5,36.25,34.25,35.5,5949200
2014-12-09,29.28110122680664,35.25,36.0,34.5,34.5,3659300
2014-12-11,28.450429916381836,34.25,35.25,33.0,34.75,3352300
2014-12-12,28.035093307495117,33.75,34.5,33.5,34.25,1874300
2014-12-15,26.581422805786133,32.0,33.5,28.75,33.5,5964000
2014-12-16,26.581422805786133,32.0,32.75,30.25,31.0,3669000
2014-12-17,27.412092208862305,33.0,33.5,31.5,31.5,1435200
2014-12-18,26.996763229370117,32.5,33.5,31.75,33.5,1503600
2014-12-19,26.789093017578125,32.25,32.5,32.0,32.5,537700
2014-12-22,28.242765426635742,34.0,34.5,32.5,32.75,1959200
2014-12-23,28.658111572265625,34.5,35.5,34.0,34.0,2696900
2014-12-24,27.619760513305664,33.25,34.75,33.25,34.75,1116900
2014-12-25,27.204425811767578,32.75,33.25,32.5,33.25,959800
2014-12-26,27.619760513305664,33.25,33.5,32.0,32.75,779400
2014-12-29,27.412092208862305,33.0,33.5,32.75,33.25,394200
2014-12-30,27.82742691040039,33.5,33.5,32.0,32.5,1036500
2015-01-05,27.412092208862305,33.0,33.5,32.75,33.25,606600
2015-01-06,25.95842170715332,31.25,32.5,31.0,32.25,2062200
2015-01-07,25.127756118774414,30.25,31.5,29.25,31.25,8869200
2015-01-08,25.95842170715332,31.25,31.25,30.25,30.25,5676100
2015-01-09,25.5430850982666,30.75,31.25,30.5,31.25,988100
2015-01-12,26.373756408691406,31.75,32.0,30.75,30.75,2497400
2015-01-13,27.204425811767578,32.75,32.75,31.5,31.75,1560100
2015-01-14,26.789093017578125,32.25,33.0,31.75,32.75,5074300
2015-01-15,26.996763229370117,32.5,32.5,31.5,32.0,1927500
2015-01-16,26.789093017578125,32.25,32.5,32.0,32.25,526400
2015-01-19,28.450429916381836,34.25,34.5,32.75,32.75,21447200
2015-01-20,28.035093307495117,33.75,34.5,33.25,34.5,10736800
2015-01-21,27.82742691040039,33.5,33.75,32.75,33.75,7116800
2015-01-22,28.242765426635742,34.0,34.25,33.5,33.5,7768200
2015-01-23,28.242765426635742,34.0,34.5,34.0,34.5,4815500
2015-01-26,28.242765426635742,34.0,34.0,32.0,34.0,5576900
2015-01-27,27.619760513305664,33.25,34.25,33.0,33.75,2850700
2015-01-28,28.242765426635742,34.0,34.0,33.0,33.0,3587200
2015-01-29,28.242765426635742,34.0,35.5,33.5,34.0,12244500
2015-01-30,28.658111572265625,34.5,34.5,34.0,34.25,3967700
2015-02-02,28.242765426635742,34.0,34.75,33.75,34.25,2647200
2015-02-03,28.035093307495117,33.75,34.5,33.75,34.25,2896400
2015-02-04,28.035093307495117,33.75,34.5,33.5,34.0,3034500
2015-02-05,27.82742691040039,33.5,34.0,33.5,33.75,3275300
2015-02-06,28.242765426635742,34.0,34.25,33.25,33.75,6009100
2015-02-09,28.035093307495117,33.75,34.25,33.75,34.0,2202200
2015-02-10,29.073440551757812,35.0,35.0,33.5,33.75,6950900
2015-02-11,29.073440551757812,35.0,35.25,34.25,35.25,5339100
2015-02-12,29.69642448425293,35.75,36.25,34.5,34.75,12132100
2015-02-13,28.86577033996582,34.75,36.0,34.75,36.0,3089100
2015-02-16,28.450429916381836,34.25,35.0,34.0,34.75,1800000
2015-02-17,28.035093307495117,33.75,34.75,33.5,34.5,1175800
2015-02-18,28.035093307495117,33.75,34.0,33.75,34.0,1552900
2015-02-19,28.242765426635742,34.0,34.75,33.5,33.5,3238900
2015-02-20,28.035093307495117,33.75,34.25,33.5,34.0,1308800
2015-02-23,28.242765426635742,34.0,34.0,33.5,33.5,1272800
2015-02-24,27.82742691040039,33.5,34.0,33.5,34.0,1611200
2015-02-25,28.242765426635742,34.0,34.25,33.5,33.75,2922200
2015-02-26,27.619760513305664,33.25,34.25,33.25,34.25,1831700
2015-02-27,28.86577033996582,34.75,35.5,34.0,34.5,9945100
2015-03-02,30.31943702697754,36.5,36.75,34.5,34.75,16559200
2015-03-03,29.69642448425293,35.75,36.75,35.5,36.75,4520400
2015-03-05,31.150108337402344,37.5,37.5,35.5,35.75,8584600
2015-03-06,31.773107528686523,38.25,38.25,36.75,37.5,7479000
2015-03-09,32.18844223022461,38.75,39.25,37.75,38.0,7825100
2015-03-10,30.5271053314209,36.75,39.0,36.75,39.0,5614500
2015-03-11,30.94244956970215,37.25,37.25,36.0,36.75,4471000
2015-03-12,32.60377502441406,39.25,40.25,37.5,37.75,15069800
2015-03-13,32.18844223022461,38.75,39.25,38.25,39.25,7934400
2015-03-16,31.565441131591797,38.0,39.0,36.75,39.0,5338300
2015-03-17,30.111764907836914,36.25,38.0,36.0,38.0,4718400
2015-03-18,30.94244956970215,37.25,37.5,36.25,36.25,2503900
2015-03-19,31.357776641845703,37.75,38.25,37.25,37.5,5273400
2015-03-20,31.98077392578125,38.5,38.5,36.5,37.25,2916700
2015-03-23,31.565441131591797,38.0,39.5,37.5,38.75,6629800
2015-03-24,31.150108337402344,37.5,38.0,37.0,38.0,3320700
2015-03-25,30.5271053314209,36.75,37.5,36.5,37.25,2699100
2015-03-26,30.734773635864258,37.0,37.75,36.75,36.75,2519700
2015-03-27,31.150108337402344,37.5,37.5,36.25,37.0,1108100
2015-03-30,31.150108337402344,37.5,38.5,37.5,37.5,2109600
2015-03-31,31.565441131591797,38.0,38.25,37.25,37.5,2301900
2015-04-01,32.39609909057617,39.0,39.25,38.0,38.0,6054700
2015-04-02,33.434444427490234,40.25,41.25,39.0,39.25,9058600
2015-04-03,33.84977722167969,40.75,42.0,40.0,40.5,5029600
2015-04-07,34.472782135009766,41.5,41.5,40.0,40.75,2204000
2015-04-08,35.511112213134766,42.75,43.0,41.5,42.0,3300800
2015-04-09,34.88812255859375,42.0,43.5,42.0,43.25,1821300
2015-04-10,34.05744552612305,41.0,41.5,40.75,41.5,1927800
2015-04-16,33.226783752441406,40.0,41.0,39.5,41.0,4744300
2015-04-17,33.84977722167969,40.75,41.25,40.25,40.5,2942800
2015-04-20,35.09579086303711,42.25,42.25,40.5,40.75,2784500
2015-04-21,34.265113830566406,41.25,42.25,41.25,42.0,2433200
2015-04-22,34.472782135009766,41.5,41.5,40.5,41.25,2823500
2015-04-23,34.05744552612305,41.0,41.75,41.0,41.75,1224800
2015-04-24,33.64211654663086,40.5,41.25,40.5,40.75,1381500
2015-04-27,34.472782135009766,41.5,42.0,40.25,40.25,2813900
2015-04-28,34.265113830566406,41.25,41.75,40.25,41.75,3117300
2015-04-29,34.05744552612305,41.0,41.0,40.0,40.75,5215600
2015-04-30,34.265113830566406,41.25,41.5,40.5,40.5,1260000
2015-05-04,34.265113830566406,41.25,41.25,41.25,41.25,0
2015-05-06,34.05744552612305,41.0,41.5,40.75,41.5,1220300
2015-05-07,33.72024917602539,40.0,41.0,40.0,40.75,2294800
2015-05-08,33.93099594116211,40.25,40.25,39.5,40.0,935700
2015-05-11,34.56325149536133,41.0,41.75,40.0,40.25,2861900
2015-05-12,34.14175033569336,40.5,41.0,39.5,41.0,3164200
2015-05-13,33.509498596191406,39.75,40.5,39.75,40.5,1037100
2015-05-14,33.72024917602539,40.0,40.5,39.75,40.0,622200
2015-05-15,34.56325149536133,41.0,41.25,40.0,40.0,2046400
2015-05-18,35.617008209228516,42.25,43.0,41.0,41.0,3100100
2015-05-19,36.038509368896484,42.75,43.0,42.0,42.75,2271700
2015-05-20,36.88151931762695,43.75,44.0,42.5,43.0,3694200
2015-05-21,36.46001052856445,43.25,44.0,42.75,44.0,1558900
2015-05-22,35.617008209228516,42.25,43.5,42.25,43.25,1535100
2015-05-25,34.9847526550293,41.5,42.5,41.25,42.5,1246700
2015-05-26,34.56325149536133,41.0,41.75,40.75,41.75,1195200
2015-05-27,34.56325149536133,41.0,41.5,40.25,40.5,1108500
2015-05-28,34.352500915527344,40.75,41.0,39.75,41.0,2975400
2015-05-29,35.40625762939453,42.0,42.0,40.25,40.5,3561500
2015-06-02,34.352500915527344,40.75,42.25,40.75,42.25,1025700
2015-06-03,34.14175033569336,40.5,41.25,40.5,40.75,484100
2015-06-04,34.56325149536133,41.0,41.0,40.5,40.5,202100
2015-06-05,35.19551086425781,41.75,41.75,40.75,41.0,683400
2015-06-08,36.038509368896484,42.75,42.75,41.5,41.5,2294200
2015-06-09,35.19551086425781,41.75,42.75,41.75,42.5,256300
2015-06-10,35.40625762939453,42.0,42.0,41.75,41.75,272600
2015-06-11,35.827762603759766,42.5,42.5,41.5,42.0,894300
2015-06-12,34.9847526550293,41.5,42.5,41.5,42.5,494800
2015-06-15,34.56325149536133,41.0,41.75,41.0,41.5,434700
2015-06-16,35.19551086425781,41.75,41.75,41.0,41.0,1268100
2015-06-17,35.19551086425781,41.75,42.0,41.25,41.75,2010400
2015-06-18,35.19551086425781,41.75,41.75,41.25,41.5,1397100
2015-06-19,34.77400588989258,41.25,41.5,40.5,41.5,1810500
2015-06-22,34.77400588989258,41.25,41.25,40.75,40.75,424500
2015-06-23,34.56325149536133,41.0,41.5,40.75,41.5,620500
2015-06-24,34.77400588989258,41.25,41.5,41.0,41.0,632100
2015-06-25,34.9847526550293,41.5,41.5,41.0,41.5,1822700
2015-06-26,36.249263763427734,43.0,43.5,41.25,41.25,4542500
2015-06-29,36.249263763427734,43.0,43.0,42.0,42.25,1437900
2015-06-30,36.670772552490234,43.5,43.5,42.25,43.0,4046300
2015-07-02,36.46001052856445,43.25,43.5,43.0,43.5,2710300
2015-07-03,36.670772552490234,43.5,43.5,42.75,43.25,1436600
2015-07-06,36.670772552490234,43.5,43.5,43.0,43.25,642400
2015-07-07,36.038509368896484,42.75,43.75,42.25,43.75,1669100
2015-07-08,34.9847526550293,41.5,42.5,41.5,42.25,1807200
2015-07-09,36.249263763427734,43.0,43.0,41.5,41.5,850900
2015-07-10,35.827762603759766,42.5,43.0,42.5,42.5,643100
2015-07-13,36.038509368896484,42.75,42.75,42.25,42.25,271500
2015-07-14,35.827762603759766,42.5,43.0,42.5,43.0,319200
2015-07-15,35.40625762939453,42.0,42.75,42.0,42.75,666900
2015-07-16,35.617008209228516,42.25,42.25,41.75,42.25,314300
2015-07-17,35.40625762939453,42.0,42.0,41.75,42.0,268000
2015-07-20,35.19551086425781,41.75,42.0,41.75,41.75,318100
2015-07-21,33.72024917602539,40.0,41.75,40.0,41.5,2181000
2015-07-22,33.08799362182617,39.25,39.5,38.5,39.5,2923300
2015-07-23,33.93099594116211,40.25,40.25,39.25,39.25,878700
2015-07-24,33.509498596191406,39.75,40.0,39.25,40.0,458000
2015-07-27,32.45573425292969,38.5,39.75,37.25,39.75,2100400
2015-07-28,32.24498748779297,38.25,38.75,37.5,38.5,1166700
2015-07-29,31.19122886657715,37.0,38.25,37.0,38.25,995100
2015-07-31,31.19122886657715,37.0,37.25,36.25,37.25,3826000
2015-08-03,32.24498748779297,38.25,39.0,37.0,37.0,2646400
2015-08-04,31.612728118896484,37.5,38.25,37.25,38.25,1349700
2015-08-05,32.24498748779297,38.25,38.5,37.5,38.0,1140600
2015-08-06,31.612728118896484,37.5,38.25,37.5,38.25,501000
2015-08-07,31.19122886657715,37.0,38.0,36.75,37.75,1755600
2015-08-10,31.823484420776367,37.75,38.0,37.0,37.0,780800
2015-08-11,30.980480194091797,36.75,38.0,36.75,38.0,1496300
2015-08-13,30.55896759033203,36.25,36.5,35.5,36.5,1568700
2015-08-14,31.19122886657715,37.0,37.0,36.25,36.25,352100
2015-08-17,31.4019832611084,37.25,37.5,36.75,37.25,396000
2015-08-18,31.19122886657715,37.0,37.0,35.75,36.0,1409000
2015-08-19,31.489099502563477,37.0,37.25,36.0,36.5,1003800
2015-08-20,31.489099502563477,37.0,37.25,37.0,37.25,236700
2015-08-21,31.914630889892578,37.5,37.75,36.25,37.0,1983100
2015-08-24,31.914630889892578,37.5,37.5,36.0,36.0,1525700
2015-08-25,31.489099502563477,37.0,37.5,36.5,37.5,1062100
2015-08-26,31.914630889892578,37.5,37.5,37.0,37.0,577000
2015-08-27,33.61673355102539,39.5,39.5,37.75,37.75,2608400
2015-08-28,33.19121170043945,39.0,39.5,37.75,39.5,1858600
2015-08-31,32.765682220458984,38.5,39.0,38.5,39.0,250800
2015-09-01,32.765682220458984,38.5,39.0,37.75,38.75,678300
2015-09-02,32.765682220458984,38.5,38.75,38.0,38.75,626500
2015-09-03,34.04227066040039,40.0,40.5,38.75,39.5,2508500
2015-09-04,33.829505920410156,39.75,40.25,39.0,39.0,992200
2015-09-07,33.829505920410156,39.75,40.0,39.25,40.0,443000
2015-09-08,34.255027770996094,40.25,40.75,39.75,40.0,912600
2015-09-09,34.89332580566406,41.0,41.0,40.0,40.5,412400
2015-09-10,34.89332580566406,41.0,41.5,40.5,41.5,541300
