Price,Adj Close,Close,High,Low,Open,Volume
Ticker,CPF.BK,CPF.BK,CPF.BK,CPF.BK,CPF.BK,CPF.BK
Date,,,,,,
2014-01-02,22.2283935546875,30.5,31.75,30.5,31.0,22566400
2014-01-03,22.2283935546875,30.5,31.0,29.5,30.0,15993000
2014-01-06,21.31739616394043,29.25,30.5,29.0,30.5,20068700
2014-01-07,22.2283935546875,30.5,30.5,29.5,29.5,16114600
2014-01-08,21.681795120239258,29.75,31.0,29.5,30.5,27972700
2014-01-09,21.499597549438477,29.5,30.25,29.5,30.0,16054600
2014-01-10,21.863998413085938,30.0,30.25,29.25,29.25,15689500
2014-01-13,21.863998413085938,30.0,30.25,29.5,29.75,11196400
2014-01-14,22.410593032836914,30.75,31.25,29.75,30.0,14418000
2014-01-15,21.499597549438477,29.5,31.0,29.5,30.75,22375800
2014-01-16,21.499597549438477,29.5,29.75,29.0,29.5,29802500
2014-01-17,21.31739616394043,29.25,29.75,29.0,29.5,14213300
2014-01-20,21.863998413085938,30.0,30.25,29.0,29.25,16286000
2014-01-21,21.499597549438477,29.5,30.5,29.5,30.25,12903700
2014-01-22,21.681795120239258,29.75,30.25,29.5,29.75,13839500
2014-01-23,21.863998413085938,30.0,30.5,29.75,30.0,19471600
2014-01-24,21.863998413085938,30.0,30.25,29.75,30.25,14921100
2014-01-27,21.31739616394043,29.25,30.25,29.25,29.75,15701900
2014-01-28,20.770797729492188,28.5,29.75,28.25,29.5,22213900
2014-01-29,20.406394958496094,28.0,28.75,28.0,28.5,17855800
2014-01-30,20.22419548034668,27.75,28.0,27.25,27.5,10684600
2014-01-31,20.770797729492188,28.5,28.5,27.75,28.0,9599100
2014-02-03,21.135196685791016,29.0,29.25,28.75,28.75,13909800
2014-02-04,20.588592529296875,28.25,28.75,28.0,28.5,16858000
2014-02-05,20.588592529296875,28.25,29.25,27.75,28.5,24055300
2014-02-06,20.770797729492188,28.5,29.0,28.0,28.5,20540700
2014-02-07,20.588592529296875,28.25,29.0,28.25,28.75,11475400
2014-02-10,20.406394958496094,28.0,28.75,27.75,28.5,14646600
2014-02-11,20.406394958496094,28.0,28.25,27.75,28.0,10921300
2014-02-12,19.85979652404785,27.25,28.25,27.25,28.0,30067200
2014-02-13,18.948801040649414,26.0,27.5,26.0,27.5,43623600
2014-02-17,19.677595138549805,27.0,27.25,26.25,26.5,49875100
2014-02-18,19.495397567749023,26.75,26.75,26.0,26.75,21752200
