Price,Adj Close,Close,High,Low,Open,Volume
Ticker,GULF.BK,GULF.BK,GULF.BK,GULF.BK,GULF.BK,GULF.BK
Date,,,,,,
2025-04-03,48.75,48.75,50.5,48.75,49.25,86492700
2025-04-04,45.0,45.0,48.25,45.0,48.0,90056800
2025-04-08,40.0,40.0,41.75,38.5,39.0,97264300
2025-04-09,42.25,42.25,43.25,39.75,40.5,87260500
2025-04-10,46.0,46.0,47.5,44.5,45.5,63327600
2025-04-11,45.0,45.0,46.25,44.5,44.5,41245000
2025-04-16,47.25,47.25,47.25,45.5,46.25,39982400
2025-04-17,46.5,46.5,47.25,46.25,47.0,25240600
2025-04-18,46.75,46.75,47.0,46.25,46.5,17311000
2025-04-21,44.5,44.5,47.0,44.5,46.5,23680300
2025-04-22,45.5,45.5,45.75,43.0,43.5,34277400
2025-04-23,45.5,45.5,46.25,45.25,46.25,27294400
2025-04-24,44.75,44.75,45.5,44.0,45.25,22645600
2025-04-25,45.5,45.5,46.25,45.0,45.25,18359700
2025-04-28,45.75,45.75,46.0,45.25,45.25,10315600
2025-04-29,47.25,47.25,47.5,45.75,46.25,26099500
2025-04-30,49.0,49.0,49.0,47.25,47.5,35888200
2025-05-02,48.0,48.0,50.25,47.75,49.75,32000800
2025-05-06,47.25,47.25,48.75,47.25,48.0,27150700
2025-05-07,50.0,50.0,50.0,48.0,48.0,37055700
2025-05-08,49.25,49.25,50.5,49.25,50.0,29661800
2025-05-09,50.25,50.25,50.5,48.5,49.5,37313200
2025-05-13,49.5,49.5,51.25,49.5,51.0,24449200
2025-05-14,48.75,48.75,50.0,48.75,49.75,18987600
2025-05-15,47.75,47.75,49.25,47.5,49.0,24468300
2025-05-16,48.5,48.5,48.75,47.75,48.75,20648400
2025-05-19,48.25,48.25,49.25,48.0,48.5,17695200
2025-05-20,48.25,48.25,49.0,48.0,48.5,26558200
2025-05-21,47.25,47.25,48.75,47.25,48.5,27161000
2025-05-22,47.0,47.0,47.5,46.5,47.25,17293300
2025-05-23,48.0,48.0,48.25,47.0,47.5,19750300
2025-05-26,47.0,47.0,48.0,46.75,47.75,12531100
2025-05-27,46.25,46.25,47.0,46.25,47.0,17423900
2025-05-28,45.25,45.25,47.0,45.25,46.5,19252900
2025-05-29,45.75,45.75,46.5,45.75,46.25,14639800
2025-05-30,45.0,45.0,45.75,45.0,45.25,66870800
2025-06-04,44.0,44.0,45.0,43.25,45.0,30332800
2025-06-05,44.5,44.5,44.75,44.0,44.25,24290500
2025-06-06,43.75,43.75,44.5,43.25,44.5,25475300
2025-06-09,43.75,43.75,44.25,43.5,44.0,20939700
2025-06-10,43.75,43.75,44.25,43.5,43.75,14183300
2025-06-11,43.5,43.5,43.75,43.0,43.75,20662800
2025-06-12,43.5,43.5,44.5,43.25,43.75,32581700
2025-06-13,42.75,42.75,43.0,42.5,43.0,18016800
2025-06-16,43.75,43.75,44.5,41.5,42.5,98946915
2025-06-17,43.25,43.25,44.0,43.0,44.0,14143000
2025-06-18,40.5,40.5,43.5,40.5,43.25,33096400
2025-06-19,38.75,38.75,40.25,38.5,39.5,84606900
2025-06-20,38.75,38.75,40.0,38.75,39.25,41278500
2025-06-23,39.0,39.0,39.5,37.75,38.0,25398500
2025-06-24,41.75,41.75,41.75,39.75,40.0,56284400
2025-06-25,41.25,41.25,42.0,40.75,41.25,31380200
2025-06-26,41.5,41.5,41.75,41.0,41.0,21249400
2025-06-27,39.5,39.5,41.25,39.5,41.25,30497500
2025-06-30,38.75,38.75,40.25,38.75,39.5,37241100
2025-07-01,40.25,40.25,40.5,38.75,39.0,33264000
2025-07-02,40.25,40.25,40.75,39.5,40.25,35184400
2025-07-03,40.5,40.5,40.5,39.75,40.0,22693300
2025-07-04,41.0,41.0,41.75,40.5,40.75,30725400
2025-07-07,40.5,40.5,40.5,39.75,40.25,22490400
2025-07-08,39.75,39.75,40.25,39.75,40.0,18586700
2025-07-09,39.75,39.75,40.25,39.5,39.75,11801300
2025-07-11,40.0,40.0,40.75,40.0,40.25,32688000
2025-07-14,41.75,41.75,41.75,39.75,40.25,40804700
2025-07-15,43.0,43.0,43.0,41.5,41.75,36112300
2025-07-16,42.75,42.75,43.25,42.25,43.0,35436000
2025-07-17,45.0,45.0,45.0,43.0,43.0,86322100
2025-07-18,45.0,45.0,45.75,44.5,44.75,55341000
2025-07-21,44.25,44.25,45.25,44.0,45.0,24693500
2025-07-22,43.25,43.25,44.75,43.25,44.25,34550100
2025-07-23,45.25,45.25,45.5,44.0,44.0,41974100
2025-07-24,46.25,46.25,47.25,45.25,45.5,56232800
2025-07-25,46.5,46.5,46.5,45.75,45.75,22673800
2025-07-29,47.25,47.25,48.0,46.75,47.5,30658600
2025-07-30,47.5,47.5,47.5,46.75,47.25,31109600
2025-07-31,47.25,47.25,47.75,46.75,47.25,25122200
2025-08-01,45.25,45.25,47.75,45.0,47.25,43696100
2025-08-04,46.25,46.25,46.25,45.0,45.5,18334600
2025-08-05,46.75,46.75,47.25,46.5,46.5,19692100
2025-08-06,47.0,47.0,47.5,46.5,46.75,12046700
2025-08-07,48.0,48.0,49.0,47.75,48.0,38996100
2025-08-08,47.5,47.5,48.0,47.25,47.75,20809800
2025-08-13,48.5,48.5,48.75,47.5,48.75,19030364
