Price,Adj Close,Close,High,Low,Open,Volume
Ticker,KBANK.BK,KBANK.BK,KBANK.BK,KBANK.BK,KBANK.BK,KBANK.BK
Date,,,,,,
2014-01-02,102.16293334960938,145.5,160.0,145.5,157.0,17348400
2014-01-03,106.02474975585938,151.0,152.0,146.5,146.5,14007700
2014-01-06,110.23765563964844,157.0,157.5,148.5,151.5,17816000
2014-01-07,113.74840545654297,162.0,162.0,156.0,158.0,11880600
2014-01-08,113.74840545654297,162.0,164.0,160.0,162.5,16142600
2014-01-09,113.3973159790039,161.5,163.0,160.5,162.0,7663000
2014-01-10,112.34410858154297,160.0,161.5,157.0,158.0,11389100
2014-01-13,115.1527099609375,164.0,164.0,158.0,158.5,12876000
2014-01-14,115.1527099609375,164.0,165.0,162.0,162.5,8240000
2014-01-15,112.6951904296875,160.5,164.0,160.5,163.0,6343000
2014-01-16,116.55699157714844,166.0,166.5,161.0,161.0,8592600
2014-01-17,117.9613037109375,168.0,168.0,165.0,167.0,11353500
2014-01-20,116.20592498779297,165.5,166.5,165.0,166.0,7905800
2014-01-21,118.66343688964844,169.0,170.0,166.0,167.0,9703400
2014-01-22,119.3656005859375,170.0,172.5,166.0,166.0,16678500
2014-01-23,122.8763656616211,175.0,175.5,168.5,170.5,15166700
2014-01-24,123.22747039794922,175.5,176.5,174.0,175.5,9651900
2014-01-27,120.41883087158203,171.5,172.5,170.5,171.5,10572200
2014-01-28,119.0145492553711,169.5,170.5,168.5,170.0,11195600
2014-01-29,119.3656005859375,170.0,172.0,168.5,170.0,5839800
2014-01-30,120.06778717041016,171.0,171.0,167.5,168.0,11221000
2014-01-31,119.3656005859375,170.0,170.5,169.5,170.0,6517100
2014-02-03,119.7166976928711,170.5,172.0,169.5,171.5,8878400
2014-02-04,116.55699157714844,166.0,169.0,165.0,168.5,9187700
2014-02-05,118.66343688964844,169.0,169.0,166.5,167.0,7509500
2014-02-06,117.9613037109375,168.0,169.5,167.5,169.0,8002000
2014-02-07,117.61024475097656,167.5,169.0,167.0,169.0,5333300
2014-02-10,116.20592498779297,165.5,168.5,165.5,168.0,7252400
2014-02-11,116.9080810546875,166.5,167.5,165.0,166.5,8444000
2014-02-12,119.3656005859375,170.0,171.0,166.0,167.0,9527100
2014-02-13,117.9613037109375,168.0,170.5,167.5,169.5,4154600
2014-02-17,120.06778717041016,171.0,172.0,167.0,168.0,11401700
2014-02-18,118.66343688964844,169.0,170.5,168.5,170.5,6677700
2014-02-19,118.31238555908203,168.5,170.0,168.0,169.5,5390100
2014-02-20,115.85482788085938,165.0,168.0,164.5,167.5,10522000
2014-02-21,116.55699157714844,166.0,166.5,165.0,165.5,3518800
2014-02-24,115.85482788085938,165.0,166.5,165.0,165.0,3753400
2014-02-25,116.55699157714844,166.0,166.5,165.0,165.5,3251100
2014-02-26,116.9080810546875,166.5,167.0,165.5,165.5,4138800
2014-02-27,119.0145492553711,169.5,170.5,166.5,166.5,6196300
2014-02-28,119.7166976928711,170.5,170.5,168.5,169.0,6103700
2014-03-03,120.76991271972656,172.0,174.0,170.5,171.0,9546700
2014-03-04,121.47205352783203,173.0,174.5,172.0,173.0,7743900
2014-03-05,122.52529907226562,174.5,176.0,174.0,174.5,6764700
2014-03-06,122.8763656616211,175.0,176.0,174.0,175.0,4291900
2014-03-07,122.8763656616211,175.0,175.5,174.0,175.5,3634200
2014-03-10,120.76991271972656,172.0,175.0,171.0,174.5,4769900
2014-03-11,121.47205352783203,173.0,174.5,172.0,173.0,4173200
2014-03-12,120.76991271972656,172.0,174.0,172.0,173.0,4325200
2014-03-13,120.76991271972656,172.0,173.0,171.5,172.5,6520700
2014-03-14,120.76991271972656,172.0,172.0,170.0,171.0,6589400
2014-03-17,121.82313537597656,173.5,173.5,171.0,172.5,3499600
2014-03-18,122.8763656616211,175.0,176.0,173.5,173.5,7067900
2014-03-19,123.22747039794922,175.5,178.5,175.0,175.5,10995900
2014-03-20,121.82313537597656,173.5,175.0,172.0,174.5,8067900
2014-03-21,120.41883087158203,171.5,173.5,171.0,173.0,6940300
2014-03-24,119.7166976928711,170.5,172.0,169.5,170.5,8305600
2014-03-25,120.06778717041016,171.0,172.0,169.5,170.5,5626300
2014-03-26,121.12098693847656,172.5,173.5,171.5,171.5,3021400
2014-03-27,120.06778717041016,171.0,173.0,171.0,172.5,2739300
2014-03-28,122.52529907226562,174.5,175.5,171.5,172.0,11703500
2014-03-31,124.98281860351562,178.0,178.0,175.0,175.5,7857200
2014-04-01,126.38710021972656,180.0,180.5,178.5,178.5,13138600
2014-04-02,128.8446502685547,183.5,184.0,180.0,180.0,10359200
2014-04-03,127.44038391113281,181.5,183.5,181.5,183.0,9590300
2014-04-04,129.54678344726562,184.5,185.0,181.5,182.5,7268000
2014-04-08,127.79142761230469,182.0,185.5,182.0,185.5,4829300
2014-04-09,129.54678344726562,184.5,184.5,182.0,182.5,6680600
2014-04-10,129.8979034423828,185.0,185.5,183.0,184.0,7793200
2014-04-11,129.1841583251953,181.0,182.0,180.0,182.0,5652200
2014-04-16,130.6116180419922,183.0,184.0,181.0,181.0,6981500
2014-04-17,134.18020629882812,188.0,189.0,182.5,183.0,8948700
2014-04-18,134.18020629882812,188.0,189.5,187.0,188.0,4566700
2014-04-21,135.96450805664062,190.5,192.5,188.0,189.0,6636400
2014-04-22,138.4626007080078,194.0,195.0,189.5,191.0,9146900
2014-04-23,140.2469024658203,196.5,197.0,195.0,196.5,8098700
2014-04-24,136.67828369140625,191.5,195.5,190.5,195.5,6386800
2014-04-25,133.10963439941406,186.5,191.0,186.5,190.0,5846500
2014-04-28,135.2508087158203,189.5,191.0,187.0,187.5,784700
2014-04-29,136.32139587402344,191.0,191.5,187.5,189.0,7077400
2014-04-30,136.67828369140625,191.5,192.5,190.0,191.5,6887900
2014-05-02,137.03514099121094,192.0,193.5,192.0,192.0,7394300
2014-05-06,137.39198303222656,192.5,194.0,192.0,193.5,3395200
2014-05-07,136.67828369140625,191.5,192.5,190.0,190.5,6269600
2014-05-08,133.8233642578125,187.5,192.0,186.5,191.5,10289300
2014-05-09,134.89395141601562,189.0,189.0,186.5,187.0,6158700
2014-05-12,134.18020629882812,188.0,189.0,187.0,188.5,5332600
2014-05-14,137.03514099121094,192.0,192.0,190.0,191.0,11890800
2014-05-15,137.74888610839844,193.0,193.0,191.0,191.5,5160900
2014-05-16,139.1763458251953,195.0,195.5,191.5,192.5,9407700
2014-05-19,139.5331268310547,195.5,196.0,194.0,195.0,3615400
2014-05-20,136.32139587402344,191.0,193.5,190.5,193.0,12758000
