Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SCC.BK,SCC.BK,SCC.BK,SCC.BK,SCC.BK,SCC.BK
Date,,,,,,
2014-01-02,256.15521240234375,381.0,396.0,378.0,396.0,1199400
2014-01-03,255.48287963867188,380.0,380.0,365.0,372.0,2618000
2014-01-06,258.8445739746094,385.0,386.0,373.0,378.0,1589200
2014-01-07,261.5337829589844,389.0,391.0,386.0,387.0,2154100
2014-01-08,263.55078125,392.0,393.0,387.0,388.0,1190200
2014-01-09,263.55078125,392.0,393.0,389.0,390.0,2320200
2014-01-10,262.8784484863281,391.0,392.0,387.0,388.0,1023700
2014-01-13,266.9123229980469,397.0,398.0,387.0,390.0,1396100
2014-01-14,272.9632873535156,406.0,412.0,398.0,399.0,2074100
2014-01-15,272.9632873535156,406.0,408.0,400.0,404.0,822900
2014-01-16,274.3080139160156,408.0,416.0,402.0,406.0,1086600
2014-01-17,271.61865234375,404.0,414.0,404.0,410.0,1233300
2014-01-20,270.2740173339844,402.0,408.0,402.0,406.0,341000
2014-01-21,268.9293212890625,400.0,410.0,400.0,408.0,982400
2014-01-22,270.2740173339844,402.0,402.0,397.0,398.0,1073900
2014-01-23,275.6525573730469,410.0,410.0,400.0,400.0,1229400
2014-01-24,279.6865539550781,416.0,416.0,406.0,410.0,1520300
2014-01-27,270.2740173339844,402.0,406.0,402.0,404.0,1670100
2014-01-28,268.9293212890625,400.0,404.0,399.0,400.0,1028400
2014-01-29,270.2740173339844,402.0,404.0,397.0,402.0,1291600
2014-01-30,270.2740173339844,402.0,404.0,398.0,399.0,1336900
2014-01-31,272.9632873535156,406.0,408.0,404.0,404.0,1936500
2014-02-03,274.3080139160156,408.0,412.0,404.0,406.0,1548200
2014-02-04,272.9632873535156,406.0,408.0,402.0,404.0,1809200
2014-02-05,271.61865234375,404.0,410.0,404.0,408.0,1115100
2014-02-06,279.6865539550781,416.0,416.0,408.0,408.0,1610300
2014-02-07,279.6865539550781,416.0,424.0,414.0,418.0,1649300
2014-02-10,275.6525573730469,410.0,418.0,406.0,416.0,1385500
2014-02-11,278.3419189453125,414.0,418.0,408.0,412.0,1383700
2014-02-12,282.3758239746094,420.0,422.0,412.0,414.0,1397100
2014-02-13,279.6865539550781,416.0,424.0,416.0,422.0,830400
2014-02-17,282.3758239746094,420.0,422.0,418.0,420.0,1930900
2014-02-18,281.0311584472656,418.0,418.0,416.0,418.0,1194300
2014-02-19,276.9972229003906,412.0,420.0,412.0,420.0,1370300
2014-02-20,278.3419189453125,414.0,416.0,410.0,410.0,1111600
2014-02-21,279.6865539550781,416.0,418.0,412.0,416.0,1000100
2014-02-24,279.6865539550781,416.0,418.0,412.0,416.0,993000
2014-02-25,278.3419189453125,414.0,420.0,412.0,418.0,1590800
2014-02-26,279.6865539550781,416.0,416.0,412.0,414.0,1413200
2014-02-27,282.3758239746094,420.0,422.0,414.0,416.0,1705500
2014-02-28,289.0989990234375,430.0,434.0,420.0,422.0,2544300
2014-03-03,290.4437255859375,432.0,438.0,426.0,426.0,1868200
2014-03-04,287.7544250488281,428.0,436.0,428.0,434.0,1820400
2014-03-05,287.7544250488281,428.0,434.0,424.0,432.0,1400200
2014-03-06,286.4097900390625,426.0,432.0,424.0,430.0,808600
2014-03-07,291.7884216308594,434.0,434.0,426.0,426.0,1378300
2014-03-10,290.4437255859375,432.0,436.0,428.0,432.0,738000
2014-03-11,293.13299560546875,436.0,436.0,430.0,432.0,874600
2014-03-12,287.7544250488281,428.0,434.0,426.0,434.0,1036300
2014-03-13,289.0989990234375,430.0,430.0,424.0,430.0,1778400
2014-03-14,286.4097900390625,426.0,428.0,426.0,428.0,910600
2014-03-17,285.065185546875,424.0,428.0,422.0,428.0,2341500
2014-03-18,282.3758239746094,420.0,426.0,418.0,426.0,2923000
2014-03-19,275.6525573730469,410.0,420.0,408.0,418.0,3701700
2014-03-20,278.3419189453125,414.0,416.0,410.0,410.0,2338500
2014-03-21,281.0311584472656,418.0,418.0,410.0,416.0,1204900
2014-03-24,276.9972229003906,412.0,416.0,412.0,416.0,635500
2014-03-25,279.6865539550781,416.0,416.0,408.0,412.0,1354400
2014-03-26,278.3419189453125,414.0,418.0,414.0,418.0,589600
2014-03-27,281.0311584472656,418.0,418.0,412.0,414.0,1424800
2014-03-28,282.3758239746094,420.0,424.0,416.0,416.0,1561100
2014-03-31,281.0311584472656,418.0,420.0,416.0,420.0,1052200
2014-04-01,285.81756591796875,418.0,418.0,412.0,414.0,1046900
2014-04-02,288.5527038574219,422.0,424.0,416.0,418.0,2114700
2014-04-03,288.5527038574219,422.0,424.0,420.0,422.0,855400
2014-04-04,292.65533447265625,428.0,428.0,422.0,422.0,1617100
2014-04-08,287.18511962890625,420.0,430.0,420.0,428.0,1557500
2014-04-09,291.2878112792969,426.0,426.0,422.0,422.0,936600
2014-04-10,291.2878112792969,426.0,428.0,420.0,426.0,1093500
2014-04-11,291.2878112792969,426.0,430.0,424.0,424.0,704600
2014-04-16,292.65533447265625,428.0,430.0,424.0,424.0,695500
2014-04-17,291.2878112792969,426.0,432.0,426.0,428.0,1447400
2014-04-18,291.2878112792969,426.0,430.0,426.0,426.0,257200
2014-04-21,291.2878112792969,426.0,428.0,424.0,426.0,435000
2014-04-22,296.75799560546875,434.0,434.0,426.0,428.0,1410000
2014-04-23,306.3307800292969,448.0,452.0,436.0,436.0,3701300
2014-04-24,304.9632873535156,446.0,452.0,444.0,452.0,1802200
2014-04-25,295.3904724121094,432.0,446.0,432.0,442.0,1183100
2014-04-28,300.86065673828125,440.0,440.0,432.0,434.0,121500
2014-04-29,302.2281799316406,442.0,442.0,436.0,440.0,685700
2014-04-30,296.75799560546875,434.0,446.0,430.0,444.0,2687900
2014-05-02,291.2878112792969,426.0,434.0,424.0,432.0,2359800
2014-05-06,288.5527038574219,422.0,430.0,422.0,426.0,971200
2014-05-07,288.5527038574219,422.0,426.0,418.0,420.0,1436400
2014-05-08,287.18511962890625,420.0,424.0,420.0,420.0,802300
2014-05-09,288.5527038574219,422.0,422.0,418.0,420.0,820200
2014-05-12,285.81756591796875,418.0,424.0,418.0,422.0,483800
2014-05-14,285.81756591796875,418.0,422.0,412.0,418.0,1807400
2014-05-15,284.45013427734375,416.0,418.0,414.0,416.0,1233800
2014-05-16,285.81756591796875,418.0,422.0,414.0,414.0,1934800
2014-05-19,283.0825500488281,414.0,418.0,412.0,416.0,1269500
2014-05-20,277.6123046875,406.0,414.0,406.0,410.0,3922500
2014-05-21,278.97991943359375,408.0,412.0,404.0,406.0,3083600
2014-05-22,280.3473815917969,410.0,414.0,408.0,412.0,2503400
2014-05-23,280.3473815917969,410.0,410.0,402.0,404.0,2241300
2014-05-26,281.7149353027344,412.0,412.0,406.0,412.0,1328400
2014-05-27,278.97991943359375,408.0,414.0,408.0,412.0,2227800
2014-05-28,283.0825500488281,414.0,420.0,410.0,410.0,2604900
