Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SCGP.BK,SCGP.BK,SCGP.BK,SCGP.BK,SCGP.BK,SCGP.BK
Date,,,,,,
2020-10-22,31.843994140625,35.0,37.25,35.0,37.0,329771200
2020-10-26,32.29890823364258,35.5,36.75,35.0,35.0,197383800
2020-10-27,32.526363372802734,35.75,36.0,35.25,35.5,78598800
2020-10-28,31.16162109375,34.25,36.25,34.0,36.0,192663900
2020-10-29,31.38907814025879,34.5,34.5,32.75,33.5,81676300
2020-10-30,32.07145309448242,35.25,35.75,34.0,34.5,96988600
2020-11-02,31.843994140625,35.0,35.5,34.75,35.25,30949500
2020-11-03,31.843994140625,35.0,35.5,34.75,35.25,36524300
2020-11-04,31.843994140625,35.0,35.5,34.75,35.0,34627200
2020-11-05,32.29890823364258,35.5,35.75,35.0,35.0,51576700
2020-11-06,31.843994140625,35.0,35.5,35.0,35.25,24630200
2020-11-09,31.843994140625,35.0,35.25,34.75,35.25,28019200
2020-11-10,31.38907814025879,34.5,35.0,34.0,34.5,81797400
2020-11-11,31.38907814025879,34.5,34.75,34.25,34.75,20771300
2020-11-12,33.89111328125,37.25,37.75,34.25,34.5,214232100
2020-11-13,33.89111328125,37.25,37.25,36.5,37.0,71762200
2020-11-16,35.483306884765625,39.0,39.0,37.25,37.5,92208600
2020-11-17,35.483306884765625,39.0,40.0,38.25,38.75,97817300
2020-11-18,35.02839279174805,38.5,39.75,37.75,38.75,69864000
2020-11-19,35.02839279174805,38.5,39.25,38.25,38.5,33330800
2020-11-20,35.9382209777832,39.5,39.5,38.5,38.75,40564200
2020-11-23,36.39313888549805,40.0,40.25,39.5,40.0,59009200
2020-11-24,35.483306884765625,39.0,40.0,38.75,39.75,49419600
2020-11-25,35.483306884765625,39.0,39.75,38.25,39.25,39429200
2020-11-26,37.757877349853516,41.5,41.75,39.75,39.75,83371800
2020-11-27,37.757877349853516,41.5,42.0,40.5,41.75,69803500
2020-11-30,38.44024658203125,42.25,42.75,41.25,41.5,61328600
2020-12-01,39.57753372192383,43.5,43.5,42.25,42.75,35099100
2020-12-02,39.35007858276367,43.25,44.0,42.75,43.5,36576700
2020-12-03,40.259910583496094,44.25,44.25,43.25,43.5,19186300
2020-12-04,39.12262725830078,43.0,44.25,42.75,44.25,42615800
2020-12-08,39.12262725830078,43.0,44.25,42.75,43.0,47704500
2020-12-09,38.667701721191406,42.5,44.0,42.25,43.25,55732800
2020-12-14,40.03244400024414,44.0,44.0,42.5,43.0,45019200
2020-12-15,40.03244400024414,44.0,44.5,43.25,44.0,39888200
2020-12-16,39.57753372192383,43.5,44.25,43.25,44.0,25478100
2020-12-17,38.44024658203125,42.25,44.0,42.25,43.5,52389600
2020-12-18,38.667701721191406,42.5,43.0,41.75,42.25,36045000
2020-12-21,36.84804916381836,40.5,42.0,40.5,41.25,40935100
2020-12-22,38.212791442871094,42.0,42.0,40.25,40.75,37626300
2020-12-23,38.212791442871094,42.0,42.75,41.5,42.0,33130400
2020-12-24,38.667701721191406,42.5,42.5,41.25,42.0,21655700
2020-12-25,38.89516067504883,42.75,43.25,42.0,42.75,31517900
2020-12-28,37.53042221069336,41.25,43.0,41.25,42.75,33323600
2020-12-29,37.757877349853516,41.5,41.75,41.0,41.5,18209400
2020-12-30,37.757877349853516,41.5,42.0,41.25,41.5,19296400
2021-01-04,38.212791442871094,42.0,42.0,40.75,40.75,17248300
2021-01-05,38.89516067504883,42.75,42.75,41.5,42.0,37228000
2021-01-06,38.44024658203125,42.25,43.0,41.75,43.0,36715400
2021-01-07,39.57753372192383,43.5,44.0,42.25,42.5,85393100
2021-01-08,39.804988861083984,43.75,45.0,43.0,44.5,105470300
2021-01-11,39.804988861083984,43.75,43.75,43.25,43.5,21078900
2021-01-12,40.03244400024414,44.0,44.5,43.25,43.75,21483200
2021-01-13,40.259910583496094,44.25,44.75,43.75,44.25,45098400
2021-01-14,41.62464904785156,45.75,46.0,44.25,44.5,70177700
2021-01-15,41.852108001708984,46.0,46.75,45.25,45.75,56119800
2021-01-18,42.30702209472656,46.5,46.75,45.75,45.75,19176400
2021-01-19,42.53447723388672,46.75,47.25,46.25,46.5,32239500
2021-01-20,43.67176055908203,48.0,48.25,46.75,47.0,34216600
2021-01-21,42.07956314086914,46.25,48.25,46.0,48.25,57934500
2021-01-22,42.30702209472656,46.5,46.75,45.75,46.25,25874300
2021-01-25,44.58159255981445,49.0,49.0,46.5,46.75,45440300
2021-01-26,42.53447723388672,46.75,48.75,46.25,48.75,91612000
2021-01-27,42.761932373046875,47.0,47.75,46.75,47.0,39553500
2021-01-28,42.07956314086914,46.25,47.0,46.25,46.5,16594400
2021-01-29,42.07956314086914,46.25,46.75,45.25,46.5,18451200
2021-02-01,42.761932373046875,47.0,47.25,45.75,46.25,12613300
2021-02-02,42.761932373046875,47.0,47.5,46.75,47.25,9022700
2021-02-03,42.53447723388672,46.75,47.25,46.75,47.25,5338500
2021-02-04,42.53447723388672,46.75,47.25,46.5,46.75,10974800
2021-02-05,42.30702209472656,46.5,47.25,46.5,47.0,6526900
2021-02-08,43.67176055908203,48.0,48.0,46.5,46.75,17958700
2021-02-09,44.58159255981445,49.0,49.75,48.5,49.0,45047600
2021-02-10,43.67176055908203,48.0,49.25,48.0,49.25,21110800
2021-02-11,43.89921951293945,48.25,48.5,47.5,48.0,11497000
2021-02-15,45.94633865356445,50.5,50.75,48.25,48.5,53414900
2021-02-16,46.401248931884766,51.0,51.5,50.0,50.75,23035800
2021-02-17,46.62870788574219,51.25,51.5,50.5,51.0,12132800
2021-02-18,45.94633865356445,50.5,51.25,50.5,51.0,10431100
2021-02-19,45.26395797729492,49.75,51.25,49.75,50.75,18062500
2021-02-22,44.809051513671875,49.25,50.25,48.5,50.0,16453600
2021-02-23,44.126670837402344,48.5,49.5,48.25,49.25,16570400
2021-02-24,42.761932373046875,47.0,49.0,46.5,48.5,49330400
2021-02-25,42.761932373046875,47.0,47.5,46.75,47.25,13966900
2021-03-01,42.761932373046875,47.0,47.5,46.25,46.75,9915300
2021-03-02,43.21685028076172,47.5,48.0,47.25,47.25,8693500
2021-03-03,43.67176055908203,48.0,48.25,47.25,47.5,23280700
2021-03-04,42.53447723388672,46.75,48.0,46.5,48.0,27837900
2021-03-05,42.07956314086914,46.25,47.0,46.25,46.5,17237900
2021-03-08,40.714820861816406,44.75,46.5,44.5,46.25,43041000
2021-03-09,39.12262725830078,43.0,45.0,42.5,44.75,91966400
2021-03-10,40.714820861816406,44.75,45.25,43.75,43.75,59460700
2021-03-11,40.714820861816406,44.75,45.5,44.75,45.25,33513800
2021-03-12,40.714820861816406,44.75,45.5,44.5,44.75,20295600
2021-03-15,40.94227600097656,45.0,45.25,44.5,45.0,9680800
2021-03-16,41.16973876953125,45.25,45.75,45.0,45.5,17382000
2021-03-17,41.62464904785156,45.75,45.75,45.0,45.25,18609100
2021-03-18,41.852108001708984,46.0,46.5,45.75,46.25,13535600
2021-03-19,41.39719009399414,45.5,46.0,44.5,45.75,24085800
2021-03-22,41.39719009399414,45.5,45.5,44.75,45.25,6046600
2021-03-23,43.21685028076172,47.5,47.5,45.25,45.75,45188600
2021-03-24,43.67176055908203,48.0,48.25,47.25,47.75,40805500
2021-03-25,42.9893913269043,47.25,48.0,47.25,48.0,16614900
2021-03-26,42.9893913269043,47.25,47.5,47.0,47.25,9144600
2021-03-29,42.53447723388672,46.75,47.75,46.25,47.5,15661100
2021-03-30,42.761932373046875,47.0,47.0,46.25,46.75,10234500
2021-03-31,42.53447723388672,46.75,47.0,46.5,47.0,5919000
2021-04-01,42.53447723388672,46.75,47.5,46.5,46.75,9374200
2021-04-02,42.9893913269043,47.25,47.75,47.0,47.25,15146300
2021-04-05,43.21685028076172,47.5,47.5,46.75,47.25,17123900
2021-04-07,43.170921325683594,47.0,47.25,45.75,46.5,18233200
2021-04-08,43.170921325683594,47.0,47.25,46.5,47.0,8913400
2021-04-09,43.40055847167969,47.25,47.75,47.0,47.5,10559300
2021-04-12,42.7116584777832,46.5,47.5,46.5,47.25,5628500
