Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TCAP.BK,TCAP.BK,TCAP.BK,TCAP.BK,TCAP.BK,TCAP.BK
Date,,,,,,
2014-01-02,15.28412914276123,30.75,31.75,30.25,31.75,4390000
2014-01-03,15.408391952514648,31.0,31.0,30.0,30.25,1279200
2014-01-06,15.781176567077637,31.75,31.75,30.0,30.5,1705300
2014-01-07,16.029699325561523,32.25,32.25,31.5,31.75,1007800
2014-01-08,15.905436515808105,32.0,33.0,31.5,32.0,2980700
2014-01-09,16.153963088989258,32.5,32.75,32.0,32.5,1123800
2014-01-10,15.905436515808105,32.0,32.5,31.75,32.25,981700
2014-01-13,16.029699325561523,32.25,32.25,31.75,32.0,1267700
2014-01-14,16.153963088989258,32.5,32.75,32.0,32.25,919100
2014-01-15,16.153963088989258,32.5,32.75,32.0,32.5,1053100
2014-01-16,16.278223037719727,32.75,33.0,32.25,32.25,1018100
2014-01-17,16.153963088989258,32.5,32.75,32.25,32.75,1199100
2014-01-20,16.278223037719727,32.75,32.75,32.0,32.25,1280800
2014-01-21,15.905436515808105,32.0,32.75,32.0,32.75,2402400
2014-01-22,15.781176567077637,31.75,32.25,31.5,31.75,1816000
2014-01-23,15.532652854919434,31.25,31.75,31.0,31.5,6279900
2014-01-24,15.781176567077637,31.75,32.0,31.25,31.5,2544100
2014-01-27,15.408391952514648,31.0,31.5,31.0,31.25,1570200
2014-01-28,15.159872055053711,30.5,31.25,30.5,31.0,1511100
2014-01-29,15.28412914276123,30.75,31.0,30.5,30.75,1722900
2014-01-30,15.159872055053711,30.5,31.0,30.5,30.5,1104100
2014-01-31,15.408391952514648,31.0,31.0,30.5,30.75,3879800
2014-02-03,15.532652854919434,31.25,31.5,31.0,31.25,3816000
2014-02-04,15.28412914276123,30.75,31.25,30.75,31.0,2444400
2014-02-05,15.408391952514648,31.0,31.5,30.75,31.25,2559900
2014-02-06,15.656913757324219,31.5,31.5,31.0,31.5,1126800
2014-02-07,15.532652854919434,31.25,31.75,31.25,31.75,2059600
2014-02-10,15.28412914276123,30.75,31.5,30.5,31.5,2938600
