ticker,rows_in,rows_out,first,last
ADVANC.BK,2822,2773,2014-03-13,2025-08-13
AOT.BK,2822,2773,2014-03-13,2025-08-13
AWC.BK,1412,1363,2019-12-24,2025-08-13
BANPU.BK,2822,2773,2014-03-13,2025-08-13
BBL.BK,2822,2773,2014-03-13,2025-08-13
BCP.BK,2822,2773,2014-03-13,2025-08-13
BDMS.BK,2822,2773,2014-03-13,2025-08-13
BEM.BK,2822,2773,2014-03-13,2025-08-13
BH.BK,2822,2773,2014-03-13,2025-08-13
BJC.BK,2822,2773,2014-03-13,2025-08-13
BTS.BK,2822,2773,2014-03-13,2025-08-13
CBG.BK,2603,2554,2015-02-05,2025-08-13
CCET.BK,2822,2773,2014-03-13,2025-08-13
COM7.BK,2432,2383,2015-10-19,2025-08-13
CPALL.BK,2822,2773,2014-03-13,2025-08-13
CPF.BK,2822,2773,2014-03-13,2025-08-13
CPN.BK,2822,2773,2014-03-13,2025-08-13
CRC.BK,1324,1275,2020-04-30,2025-08-13
DELTA.BK,2822,2773,2014-03-13,2025-08-13
EGCO.BK,2822,2773,2014-03-13,2025-08-13
GPSC.BK,2489,2440,2015-07-28,2025-08-13
GULF.BK,83,34,2025-06-23,2025-08-13
HMPRO.BK,2822,2773,2014-03-13,2025-08-13
IVL.BK,2822,2773,2014-03-13,2025-08-13
KBANK.BK,2822,2773,2014-03-13,2025-08-13
KKP.BK,2822,2773,2014-03-13,2025-08-13
KTB.BK,2822,2773,2014-03-13,2025-08-13
KTC.BK,2822,2773,2014-03-13,2025-08-13
LH.BK,2822,2773,2014-03-13,2025-08-13
MINT.BK,2822,2773,2014-03-13,2025-08-13
MTC.BK,2600,2551,2015-02-10,2025-08-13
OR.BK,1087,1038,2021-04-29,2025-08-13
OSP.BK,1652,1603,2018-12-28,2025-08-13
PTT.BK,2822,2773,2014-03-13,2025-08-13
PTTEP.BK,2822,2773,2014-03-13,2025-08-13
PTTGC.BK,2822,2773,2014-03-13,2025-08-13
RATCH.BK,2822,2773,2014-03-13,2025-08-13
SCB.BK,799,750,2022-07-08,2025-08-13
SCC.BK,2822,2773,2014-03-13,2025-08-13
SCGP.BK,1161,1112,2021-01-07,2025-08-13
TCAP.BK,2822,2773,2014-03-13,2025-08-13
TIDLOR.BK,58,9,2025-07-30,2025-08-13
TISCO.BK,2822,2773,2014-03-13,2025-08-13
TLI.BK,740,691,2022-10-05,2025-08-13
TOP.BK,2822,2773,2014-03-13,2025-08-13
TRUE.BK,2822,2773,2014-03-13,2025-08-13
TTB.BK,2822,2773,2014-03-13,2025-08-13
TU.BK,2822,2773,2014-03-13,2025-08-13
VGI.BK,2822,2773,2014-03-13,2025-08-13
WHA.BK,2822,2773,2014-03-13,2025-08-13
