ticker,rows,first,last,na_ratio
ADVANC.BK,2822,2014-01-02,2025-08-13,0.0
AOT.BK,2822,2014-01-02,2025-08-13,0.0
AWC.BK,1412,2019-10-10,2025-08-13,0.0
BANPU.BK,2822,2014-01-02,2025-08-13,0.0
BBL.BK,2822,2014-01-02,2025-08-13,0.0
BCP.BK,2822,2014-01-02,2025-08-13,0.0
BDMS.BK,2822,2014-01-02,2025-08-13,0.0
BEM.BK,2822,2014-01-02,2025-08-13,0.0
BH.BK,2822,2014-01-02,2025-08-13,0.0
BJC.BK,2822,2014-01-02,2025-08-13,0.0
BTS.BK,2822,2014-01-02,2025-08-13,0.0
CBG.BK,2603,2014-11-21,2025-08-13,0.0
CCET.BK,2822,2014-01-02,2025-08-13,0.0
COM7.BK,2432,2015-08-10,2025-08-13,0.0
CPALL.BK,2822,2014-01-02,2025-08-13,0.0
CPF.BK,2822,2014-01-02,2025-08-13,0.0
CPN.BK,2822,2014-01-02,2025-08-13,0.0
CRC.BK,1324,2020-02-20,2025-08-13,0.0
DELTA.BK,2822,2014-01-02,2025-08-13,0.0
EGCO.BK,2822,2014-01-02,2025-08-13,0.0
GPSC.BK,2489,2015-05-18,2025-08-13,0.0
GULF.BK,83,2025-04-03,2025-08-13,0.0
HMPRO.BK,2822,2014-01-02,2025-08-13,0.0
IVL.BK,2822,2014-01-02,2025-08-13,0.0
KBANK.BK,2822,2014-01-02,2025-08-13,0.0
KKP.BK,2822,2014-01-02,2025-08-13,0.0
KTB.BK,2822,2014-01-02,2025-08-13,0.0
KTC.BK,2822,2014-01-02,2025-08-13,0.0
LH.BK,2822,2014-01-02,2025-08-13,0.0
MINT.BK,2822,2014-01-02,2025-08-13,0.0
MTC.BK,2600,2014-11-26,2025-08-13,0.0
OR.BK,1087,2021-02-11,2025-08-13,0.0
OSP.BK,1652,2018-10-17,2025-08-13,0.0
PTT.BK,2822,2014-01-02,2025-08-13,0.0
PTTEP.BK,2822,2014-01-02,2025-08-13,0.0
PTTGC.BK,2822,2014-01-02,2025-08-13,0.0
RATCH.BK,2822,2014-01-02,2025-08-13,0.0
SCB.BK,799,2022-04-20,2025-08-13,0.0
SCC.BK,2822,2014-01-02,2025-08-13,0.0
SCGP.BK,1161,2020-10-22,2025-08-13,0.0
TCAP.BK,2822,2014-01-02,2025-08-13,0.0
TIDLOR.BK,58,2025-05-16,2025-08-13,0.0
TISCO.BK,2822,2014-01-02,2025-08-13,0.0
TLI.BK,740,2022-07-25,2025-08-13,0.0
TOP.BK,2822,2014-01-02,2025-08-13,0.0
TRUE.BK,2822,2014-01-02,2025-08-13,0.0
TTB.BK,2822,2014-01-02,2025-08-13,0.0
TU.BK,2822,2014-01-02,2025-08-13,0.0
VGI.BK,2822,2014-01-02,2025-08-13,0.0
WHA.BK,2822,2014-01-02,2025-08-13,0.0
