,ADVANC.BK,AOT.BK,AWC.BK,BANPU.BK,BBL.BK,BCP.BK,BDMS.BK,BEM.BK,BH.BK,BJC.BK,BTS.BK,CBG.BK,CCET.BK,COM7.BK,CPALL.BK,CPF.BK,CPN.BK,CRC.BK,DELTA.BK,EGCO.BK,GPSC.BK,HMPRO.BK,IVL.BK,KBANK.BK,KKP.BK,KTB.BK,KTC.BK,LH.BK,MINT.BK,MTC.BK,OR.BK,OSP.BK,PTT.BK,PTTEP.BK,PTTGC.BK,RATCH.BK,SCC.BK,SCGP.BK,TCAP.BK,TISCO.BK,TOP.BK,TRUE.BK,TTB.BK,TU.BK,VGI.BK,WHA.BK
ADVANC.BK,1.0,-0.01771657773317424,-0.0325952309743719,-0.08642226778207104,0.10574710405048386,0.0387225689823296,-0.0030987026804764504,-0.010438761720682484,0.0324631923421128,-0.005186316944420448,0.02965385349292047,0.07367956419595806,0.03769552937210231,0.05835410003178245,0.026582448482688367,0.0007306162923905691,0.030814497076299508,0.0052853497339140606,0.05803408377159098,-0.016183571412111658,0.06973209676107964,0.21555674234049987,0.0073350517297440555,0.0694011611052715,0.1016016292529005,0.1103650966193205,0.033048363475640635,-0.015767310507500874,0.05447932986135263,0.08129741697505434,0.00798974254606841,0.03744663605101321,0.03931698426674049,-0.03031140531208544,-0.016276592465620507,0.07274787012081127,0.05262415235784425,0.03983961633356032,0.013623605134880853,-0.038869006979976174,-0.01183599393219883,0.08214939914975097,-0.0030112613670109927,-0.03631846963232585,0.03107940573585547,0.04193159609405969
AOT.BK,-0.01771657773317424,1.0,0.17446260130934466,0.030766032292263993,0.13431890326234008,0.06497827011900391,0.09834332532639793,0.360652628341927,0.15172915710635132,0.18058309299521294,0.07177591508000414,0.08763466345763958,0.0025280792778606086,0.04699060842712221,0.12017627533932058,-0.032268221808727245,0.1976139146838663,0.24548195683196186,-0.00031794847355864133,0.11344665462895653,0.027645274072479697,0.10370708060043787,0.07665420445675541,0.05656823443460723,-0.012503385307814908,-0.0276574836812615,-0.006735136038387524,0.0449028799700392,0.0028727727903752583,-0.018723960113989264,0.011330523105310982,0.048961962042587064,0.060121729540795685,0.1266458149812605,0.07704963041649367,-0.00422573456526984,0.09881441136014818,0.008118095002795709,-0.014208812187196081,0.04841863806430327,-0.002918295389708409,0.07612133341194209,0.002289669804250571,0.12091608400288638,-0.03342913285215992,0.07178165378415566
AWC.BK,-0.0325952309743719,0.17446260130934466,1.0,0.10588350488325313,0.1298584490729232,0.06848203071453243,0.033939760012847896,0.14349895331647478,0.05181991516080122,0.137362768078995,0.07441733088000768,0.13032941254049857,0.03203318713896767,0.08524528073361795,0.10751263094522201,0.039478104248118755,0.18626470414466384,0.3199248865999601,0.09413994827660495,0.14864097282663555,0.17092283310559425,0.11744636637057328,0.18592511510648277,-0.0326500676918198,0.09693537086036548,0.06589501285719886,0.13147005116526436,0.22684360185914368,0.16670986006744065,0.20042928579232208,0.006543468990574718,0.19774069122520413,0.11498936819203093,0.04826092161455806,0.21800937016619598,0.008988158668435189,0.0810690562673149,0.1607005059345313,0.09536051027033461,0.10296967528952912,0.08130447929576431,0.03738141822601059,-0.03035393305714819,0.12852100520609772,0.08989865037762303,0.15843826289364382
BANPU.BK,-0.08642226778207104,0.030766032292263993,0.10588350488325313,1.0,0.12562947482189596,0.08785335649693626,-0.01657106710272645,0.0944577511836706,0.025007598325154534,0.02300543126673509,0.019135456201859715,0.06050082395229275,0.0484604000183398,0.16068331955708476,0.09779913554142439,0.11241643069046922,0.08346037449046526,-0.004199384892337158,0.03663709173965329,0.1238048613116367,0.02667922902588064,0.003493017476006863,0.1608096511412764,0.07274513451288656,0.05738077618955785,0.10259270888251953,0.0718021409318144,0.18859878374187522,0.0491598466607576,0.047684938845897314,0.10394258997228659,0.12036951220915679,0.13164225931789414,0.039978118451725005,0.13536071317389958,0.11710027555876844,0.08549666515265146,0.08202129832752632,-0.01856376537424305,0.03885270670798687,0.17398067771484238,0.11158468046849866,-0.028162859419316837,0.033997070238685485,0.03430263280149325,0.005035201498293915
BBL.BK,0.10574710405048386,0.13431890326234008,0.1298584490729232,0.12562947482189596,1.0,0.11859794873697221,0.0707636355158707,0.1813128589541575,0.127304437409102,0.09992962949888291,0.02444083072092218,0.05110386413806049,0.11228126757926772,0.2085466566996022,0.15170851679815675,-0.011423743959007955,0.14482925324616575,0.14194491297306802,0.04901604038618361,0.02800318826712431,0.07629632611670073,0.15661137118662405,0.11423640885088344,0.22331013120192902,0.11197284871093688,0.166780839551421,-0.026382515496279197,0.17618207115835935,0.07056219392417919,0.1508650725547774,0.017274916224751923,0.11818938256346052,0.05995960295693821,0.05279541024831635,0.15596663834466476,0.0006707552128448754,0.02751979712980075,0.062409681271163524,0.06994065049990483,0.1927376355856303,0.11037887478886478,0.1367908536103066,-0.0947803644904696,0.08546657541094681,0.05801185944500542,0.06898094989933486
BCP.BK,0.0387225689823296,0.06497827011900391,0.06848203071453243,0.08785335649693626,0.11859794873697221,1.0,0.08213307264350829,0.04927114672042362,0.1449953570720965,0.07327542626847938,0.021095068983129853,0.011574036612519805,-0.044033250802700714,0.03135931831456361,0.01821318255356316,0.13773065172653876,0.12562314790835188,0.15577470484691536,-0.0035308053599549267,0.01132290268996047,0.0929634680663659,0.10278984457490484,0.07193457743817451,0.04968555979551468,0.13382007863520828,0.0527389495461995,0.0701750864701154,0.1609402141139222,0.08675959040528937,0.05456562769673142,0.022949623574502385,0.1182129327742004,0.14710228023849187,0.1236298977573562,0.15617518468010202,0.021488412715201997,0.10731443098350894,0.16645793775974352,0.036771118989348865,0.07249552398774757,0.11620241734359357,0.06879115738817031,-0.0016895603988450747,0.06044845135151692,0.03952579451887629,0.10616246927725353
BDMS.BK,-0.0030987026804764504,0.09834332532639793,0.033939760012847896,-0.01657106710272645,0.0707636355158707,0.08213307264350829,1.0,0.22543391406323768,0.17945177201018503,0.23321536412634813,0.08775812340973935,0.02383881662899008,-0.00993392821176295,0.07737742305811829,0.22033999329207393,0.10569655555333456,0.14994457183118706,0.1087848019335376,-0.002760425105999026,0.06981410548698114,0.14226402235115274,0.1412951060312626,0.027274927259967784,0.07002433678962244,0.035999852910154985,0.024543569226108078,0.055372711206268715,0.0600246435143508,0.08950400249292849,0.10821970185981102,-0.002062502516692363,0.07615500270837709,0.0721130857214791,0.008178466808961924,0.09821316804466462,0.025480748851708587,0.13373341373358322,0.12191796260454923,0.04097215904564268,0.05993395404219726,0.023625985691408762,0.016809394235335815,-0.0004167900890160798,0.08753398943673703,0.03929902293377644,0.07534681522721558
BEM.BK,-0.010438761720682484,0.360652628341927,0.14349895331647478,0.0944577511836706,0.1813128589541575,0.04927114672042362,0.22543391406323768,1.0,0.14518065870038868,0.18852784024729272,-0.004884812568787334,0.10484348781346578,-0.005398138292702022,0.11118760030089779,0.2037061201463102,-0.018757038692555173,0.25802308971200405,0.16499953700074801,0.06122960299129606,0.19492825792403562,0.07969970345231213,0.07441802462973042,0.10880944025796875,0.062062679168960605,0.03687433767395501,0.03562342697071625,0.11399092238964068,0.08517626533105037,0.06406402061243881,0.10302219227484681,0.009244464524506913,0.1160552360420194,0.028483153154839038,0.046391274818393904,0.1262717187430185,0.016167695730482434,0.08495999626206086,0.11811477377291527,0.01699382918448203,0.020080147514586137,0.04531071314016147,0.08455443047774668,0.001868119510590602,0.15919440432594628,0.02745411514140397,0.09073132134743615
BH.BK,0.0324631923421128,0.15172915710635132,0.05181991516080122,0.025007598325154534,0.127304437409102,0.1449953570720965,0.17945177201018503,0.14518065870038868,1.0,0.05157905678671717,-0.005341080030452487,0.0808691010652756,0.03785432868538752,0.09962753908398048,0.1991204164807753,0.006219212181463285,0.19213238411002817,0.11651924331982787,0.012676238494878466,0.06652397679762988,0.09080984486689837,0.05591623275360992,0.0443222808320839,0.006490342710111028,0.06795275070099831,0.0391780242903831,0.009285160163026822,0.09511096886590319,0.03870053163834712,0.049377644976973126,-0.07309661383414147,0.08885128242601659,0.08552615831726788,0.042274079077267136,0.005203152022825246,0.0519235381832915,0.03783347272319991,0.02265834540022885,-0.007865330887551461,-0.001670920254078793,0.03334664238229679,0.0775104196390688,-0.0025018299033928502,0.09234660828877636,0.012264866113608988,0.08972879242284122
BJC.BK,-0.005186316944420448,0.18058309299521294,0.137362768078995,0.02300543126673509,0.09992962949888291,0.07327542626847938,0.23321536412634813,0.18852784024729272,0.05157905678671717,1.0,0.10199551965720989,0.13670683865154978,0.07760676464541431,0.07574645781566754,0.10171496544295579,0.04201474648112657,0.15592647338527216,0.13019820263188608,0.016661667290792066,0.09313666326166133,0.11902996870216279,0.13579742158747268,0.017050302547730527,0.003685898803978662,-0.03797575904105375,-0.015132889053789664,0.013469310687041675,0.11209806439497332,0.17913911453718973,0.08669783889487569,-0.003442594562792558,0.11185535321180563,0.08083961860026,0.11978252507993176,0.10738872529688585,0.026944825478013572,0.0777582262701004,0.13371323979796995,0.04175390165288055,0.010646331047542637,0.009785618628874,0.1240121079005469,-0.0006956788089517722,0.08113075448252922,0.015697326359178084,0.052465182469545034
