date,pnl_ADVANC.BK,eq_ADVANC.BK,pnl_AOT.BK,eq_AOT.BK,pnl_AWC.BK,eq_AWC.BK,pnl_BANPU.BK,eq_BANPU.BK,pnl_BBL.BK,eq_BBL.BK,pnl_BCP.BK,eq_BCP.BK,pnl_BDMS.BK,eq_BDMS.BK,pnl_BEM.BK,eq_BEM.BK,pnl_BH.BK,eq_BH.BK,pnl_BJC.BK,eq_BJC.BK,pnl_BTS.BK,eq_BTS.BK,pnl_CBG.BK,eq_CBG.BK,pnl_CCET.BK,eq_CCET.BK,pnl_COM7.BK,eq_COM7.BK,pnl_CPALL.BK,eq_CPALL.BK,pnl_CPF.BK,eq_CPF.BK,pnl_CPN.BK,eq_CPN.BK,pnl_CRC.BK,eq_CRC.BK,pnl_DELTA.BK,eq_DELTA.BK,pnl_EGCO.BK,eq_EGCO.BK,pnl_GPSC.BK,eq_GPSC.BK,pnl_HMPRO.BK,eq_HMPRO.BK,pnl_IVL.BK,eq_IVL.BK,pnl_KBANK.BK,eq_KBANK.BK,pnl_KKP.BK,eq_KKP.BK,pnl_KTB.BK,eq_KTB.BK,pnl_KTC.BK,eq_KTC.BK,pnl_LH.BK,eq_LH.BK,pnl_MINT.BK,eq_MINT.BK,pnl_MTC.BK,eq_MTC.BK,pnl_OR.BK,eq_OR.BK,pnl_OSP.BK,eq_OSP.BK,pnl_PTT.BK,eq_PTT.BK,pnl_PTTEP.BK,eq_PTTEP.BK,pnl_PTTGC.BK,eq_PTTGC.BK,pnl_RATCH.BK,eq_RATCH.BK,pnl_SCC.BK,eq_SCC.BK,pnl_SCGP.BK,eq_SCGP.BK,pnl_TCAP.BK,eq_TCAP.BK,pnl_TISCO.BK,eq_TISCO.BK,pnl_TOP.BK,eq_TOP.BK,pnl_TRUE.BK,eq_TRUE.BK,pnl_TTB.BK,eq_TTB.BK,pnl_TU.BK,eq_TU.BK,pnl_VGI.BK,eq_VGI.BK,pnl_WHA.BK,eq_WHA.BK,port_pnl,port_eq
1970-01-01 00:00:00.000000000,-0.0,1.0,0.0,1.0,-0.0,1.0,-1.001,-0.0009999999999998,0.999,1.999,0.0,1.0,-0.0,1.0,-0.0,1.0,0.999,1.999,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,0.0,1.0,-1.001,-0.0009999999999998,-0.0,1.0,0.0,1.0,0.0,1.0,-0.0,1.0,0.999,1.999,0.0,1.0,0.0,1.0,-0.0,1.0,-1.001,-0.0009999999999998,0.999,1.999,-1.001,-0.0009999999999998,0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.0,1.0,-0.0,1.0,0.0,1.0,-1.001,-0.0009999999999998,0.0,1.0,0.0,1.0,-0.02193478260869564,0.9780652173913044
1970-01-01 00:00:00.000000001,-0.0,1.0,0.0,1.0,-0.0,1.0,1.0,-0.0019999999999997,-1.0,0.0,0.0,1.0,-0.0,1.0,-0.0,1.0,1.0,3.998,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-1.0,-0.0,-0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,-1.0,0.0,0.0,1.0,-0.0,1.0,-0.0,1.0,-0.001,-0.0009989999999998,1.0,3.998,-1.0,-0.0,0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,0.0,1.0,0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.001,-0.0009989999999998,-0.0,1.0,-0.0,1.0,-0.02178260869565217,0.9567604054820416
1970-01-01 00:00:00.000000002,-0.0,1.0,0.0,1.0,-0.0,1.0,1.0,-0.0039999999999995,-1.0,0.0,0.0,1.0,-0.0,1.0,-0.0,1.0,1.0,7.996,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,0.0,1.0,-1.0,-0.0,-0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,-0.001,0.0,0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,-0.0009989999999998,1.0,7.996,-1.0,-0.0,0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,-0.0009989999999998,-0.0,1.0,-0.0,1.0,-2.1739130434782627e-05,0.956739606342792
1970-01-01 00:00:00.000000003,-0.0,1.0,0.0,1.0,-0.0,1.0,-1.0,-0.0,-1.0,0.0,0.0,1.0,0.0,1.0,-0.0,1.0,1.0,15.992,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,0.0,1.0,-1.0,-0.0,-0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,-0.0,0.0,0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,-0.0009989999999998,1.0,15.992,-1.0,-0.0,0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-1.001,-0.0009999999999998,0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,-0.0009989999999998,-0.0,1.0,-0.0,1.0,-0.0652391304347826,0.894322746372472
1970-01-01 00:00:00.000000004,-0.0,1.0,0.0,1.0,0.0,1.0,-1.0,-0.0,-1.0,0.0,0.0,1.0,0.0,1.0,-0.0,1.0,1.0,31.984,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,0.0,1.0,-1.0,-0.0,-0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,-0.0009989999999998,1.0,31.984,-1.0,-0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-1.0,-0.0,0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-1.001,9.9899999999978e-07,-0.0,1.0,-0.0,1.0,-0.0869782608695652,0.8165361092369011
1970-01-01 00:00:00.000000005,-0.0,1.0,-0.0,1.0,0.0,1.0,1.0,-0.0,-1.0,0.0,0.0,1.0,0.0,1.0,-0.0,1.0,-1.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,0.0,1.0,-1.0,-0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,-0.0009989999999998,1.0,63.968,-1.0,-0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,0.0,1.0,-1.0,-0.0,0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.001,9.9800099999978e-07,-1.001,-0.0009999999999998,-0.0,1.0,-0.087,0.7454974677332907
1970-01-01 00:00:00.000000006,-0.0,1.0,0.0,1.0,0.0,1.0,1.0,-0.0,-1.0,0.0,0.0,1.0,0.0,1.0,-0.0,1.0,1.0,0.0,0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,0.0,1.0,-1.0,-0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,0.0,0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,-0.0009989999999998,1.0,127.936,-1.0,-0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,0.0,1.0,-1.0,-0.0,0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,-0.0,1.0,-1.001,-9.9800099999967e-10,-1.0,-0.0,0.0,1.0,-0.0652391304347826,0.6968618611970384
1970-01-01 00:00:00.000000007,-0.0,1.0,0.0,1.0,0.0,1.0,1.0,-0.0,-0.001,0.0,0.0,1.0,0.0,1.0,-0.0,1.0,1.0,0.0,-0.0,1.0,-0.0,1.0,0.999,1.999,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,0.0,1.0,-1.0,-0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,0.0,0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,-0.0009989999999998,-0.001,127.808064,-1.0,-0.0,-0.0,1.0,-1.001,-0.0009999999999998,-0.0,1.0,0.999,1.999,-1.0,-0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,0.999,1.999,0.0,1.0,-0.0,1.0,0.0,1.0,-1.0,-0.0,-1.0,-0.0,-0.0,1.0,-0.021869565217391296,0.6816217952760771
1970-01-01 00:00:00.000000008,-0.0,1.0,0.0,1.0,0.0,1.0,1.0,-0.0,-0.0,0.0,0.0,1.0,0.0,1.0,-0.0,1.0,1.0,0.0,-0.0,1.0,-0.0,1.0,1.0,3.998,0.0,1.0,0.999,1.999,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,1.0,-0.0,0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,0.0,0.0,1.0,-1.001,-0.0009999999999998,-0.0,1.0,-0.0,-0.0009989999999998,0.0,127.808064,1.0,-0.0,-0.0,1.0,-1.0,-0.0,-0.0,1.0,1.0,3.998,-1.0,-0.0,0.0,1.0,-1.001,-0.0009999999999998,0.0,1.0,-0.0,1.0,1.0,3.998,0.0,1.0,0.0,1.0,-0.0,1.0,-1.0,-0.0,-1.0,-0.0,0.0,1.0,0.043413043478260895,0.7112130719101277
1970-01-01 00:00:00.000000009,-0.0,1.0,-0.0,1.0,0.0,1.0,1.0,-0.0,-0.0,0.0,0.0,1.0,0.0,1.0,-0.0,1.0,1.0,0.0,-0.0,1.0,-0.0,1.0,-0.001,3.994002,-0.0,1.0,1.0,3.998,-0.0,1.0,0.0,1.0,-1.001,-0.0009999999999998,-0.0,1.0,1.0,-0.0,0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,0.0,0.0,1.0,1.0,-0.0019999999999997,-0.0,1.0,-1.001,9.9899999999978e-07,0.0,127.808064,1.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,1.0,1.0,7.996,1.0,-0.0,0.0,1.0,-1.0,-0.0,0.0,1.0,-0.0,1.0,1.0,7.996,0.0,1.0,-0.0,1.0,-0.0,1.0,1.0,-0.0,1.0,-0.0,0.0,1.0,0.19558695652173913,0.8503170720835065
